"archive_asset_id","archive_run_id","download_status","evidence_grade","redistribution_scope","local_path","sha256","replacement_source","target_table","reuse_decision","revalidation_required"
"LCL-0001","20260816_research_archive_v1","EXCLUDED_SECRET","内部","metadata_only","","7a4e96f90a2023d863091f0af8b77d34e645a4995be456daacb74dc2b94fbc99","","source_registry","EXCLUDE_FROM_ALL_PACKAGES","NOT_APPLICABLE"
"LCL-0002","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","A","shared","01_比赛与项目基线/本地原件/02数据创新平台.pdf","633a1bad02eb6bbc88b06960a6409f6eea6b2f3f9b24a645d653f55aa33e8e00","","source_registry","REUSE_AFTER_FIELD_AND_CLAIM_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0003","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/01_2022俄乌冲突-外储冻结/案例档案.md","38ca61de31aa3259853a3a9ddf8f731ff127fa831e7b9996a9cdb3224bdb7357","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0004","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/02_2022俄罗斯黄金制裁免疫/案例档案.md","e2444232ad868b3695fc26bece3b20e0bbf3b775a4e008b7b6423387bc7d6c58","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0005","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/03_2024以色列-伊朗冲突/案例档案.md","8ecdfc4fa6a231bd29f6910da7493d973cae89f7f71d11864522218f0cfc696e","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0006","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/04_2012-2013土耳其-伊朗黄金换天然气/案例档案.md","d057d8669e89b23b30914046bc2456f01b961cc5309c340c232658e8ac3ba693","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0007","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/05_2019委内瑞拉伦敦黄金冻结/案例档案.md","1f80da0956f174443d8424d31f058e18b6992a37d3530362b29bcff965028a22","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0008","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/06_2014克里米亚危机-卢布暴跌/案例档案.md","2abedfa0bc2bb4b73717366ac63a19e217295a93ac323fcd98f58a96625840ef","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0009","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/07_2018特朗普对伊制裁/案例档案.md","b13566a822205feaa32841ca66c1fd957f1fe190bf5cfe86fcec538e2d49548c","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
"LCL-0010","20260816_research_archive_v1","ALREADY_LOCAL_VERIFIED","内部","shared","03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/08_2023苏丹内战黄金经济/案例档案.md","9534ba2c0b824032ed9abfcea5c0fd3db8262d05c14348fc91563d5c0aa27c10","","case_evidence|historical_crisis_event","REUSE_AS_CONTEXT_AFTER_CHECK","YES_BEFORE_FORMAL_MODEL_USE"
