iso3,country_name_zh,country_name_en,region,subregion,currency_name,currency_code,country_role,inclusion_rule_note,run_id
ARM,亚美尼亚,Armenia,Asia,西亚,亚美尼亚德拉姆,AMD,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
AZE,阿塞拜疆,Azerbaijan,Asia,西亚,阿塞拜疆马纳特,AZN,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
BHR,巴林,Bahrain,Asia,西亚,巴林第纳尔,BHD,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
CYP,塞浦路斯,Cyprus,Asia,西亚,欧元,EUR,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
GEO,格鲁吉亚,Georgia,Asia,西亚,格鲁吉亚拉里,GEL,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
IRQ,伊拉克,Iraq,Asia,西亚,伊拉克第纳尔,IQD,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
ISR,以色列,Israel,Asia,西亚,以色列新谢克尔,ILS,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
JOR,约旦,Jordan,Asia,西亚,约旦第纳尔,JOD,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
KWT,科威特,Kuwait,Asia,西亚,科威特第纳尔,KWD,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
LBN,黎巴嫩,Lebanon,Asia,西亚,黎巴嫩镑,LBP,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
OMN,阿曼,Oman,Asia,西亚,阿曼里亚尔,OMR,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
PSE,巴勒斯坦,Palestine,Asia,西亚,以色列新谢克尔(主要流通),ILS,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
QAT,卡塔尔,Qatar,Asia,西亚,卡塔尔里亚尔,QAR,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
SAU,沙特阿拉伯,Saudi Arabia,Asia,西亚,沙特里亚尔,SAR,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
SYR,叙利亚,Syria,Asia,西亚,叙利亚镑,SYP,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
TUR,土耳其,Turkey,Asia,西亚,土耳其里拉,TRY,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
ARE,阿联酋,United Arab Emirates,Asia,西亚,阿联酋迪拉姆,AED,channel,资金通道:以离岸金融/投资中转为主要中国资本通道功能;不进实体风险排名(DQ04),20260817_v42
YEM,也门,Yemen,Asia,西亚,也门里亚尔,YER,operating,"M49 西亚主权国家,纳入亚非拉覆盖层",20260817_v42
KAZ,哈萨克斯坦,Kazakhstan,Asia,中亚,哈萨克斯坦坚戈,KZT,operating,"M49 中亚主权国家,纳入亚非拉覆盖层",20260817_v42
KGZ,吉尔吉斯斯坦,Kyrgyzstan,Asia,中亚,吉尔吉斯斯坦索姆,KGS,operating,"M49 中亚主权国家,纳入亚非拉覆盖层",20260817_v42
TJK,塔吉克斯坦,Tajikistan,Asia,中亚,塔吉克斯坦索莫尼,TJS,operating,"M49 中亚主权国家,纳入亚非拉覆盖层",20260817_v42
TKM,土库曼斯坦,Turkmenistan,Asia,中亚,土库曼斯坦马纳特,TMT,operating,"M49 中亚主权国家,纳入亚非拉覆盖层",20260817_v42
UZB,乌兹别克斯坦,Uzbekistan,Asia,中亚,乌兹别克斯坦苏姆,UZS,operating,"M49 中亚主权国家,纳入亚非拉覆盖层",20260817_v42
AFG,阿富汗,Afghanistan,Asia,南亚,阿富汗尼,AFN,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
BGD,孟加拉国,Bangladesh,Asia,南亚,孟加拉塔卡,BDT,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
BTN,不丹,Bhutan,Asia,南亚,不丹努尔特鲁姆,BTN,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
IND,印度,India,Asia,南亚,印度卢比,INR,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
IRN,伊朗,Iran,Asia,南亚,伊朗里亚尔,IRR,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
MDV,马尔代夫,Maldives,Asia,南亚,马尔代夫拉菲亚,MVR,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
NPL,尼泊尔,Nepal,Asia,南亚,尼泊尔卢比,NPR,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
PAK,巴基斯坦,Pakistan,Asia,南亚,巴基斯坦卢比,PKR,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
LKA,斯里兰卡,Sri Lanka,Asia,南亚,斯里兰卡卢比,LKR,operating,"M49 南亚主权国家,纳入亚非拉覆盖层",20260817_v42
BRN,文莱,Brunei Darussalam,Asia,东南亚,文莱元,BND,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
KHM,柬埔寨,Cambodia,Asia,东南亚,柬埔寨瑞尔,KHR,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
IDN,印度尼西亚,Indonesia,Asia,东南亚,印尼盾,IDR,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
LAO,老挝,Laos,Asia,东南亚,老挝基普,LAK,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
MYS,马来西亚,Malaysia,Asia,东南亚,马来西亚林吉特,MYR,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
MMR,缅甸,Myanmar,Asia,东南亚,缅甸缅元,MMK,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
PHL,菲律宾,Philippines,Asia,东南亚,菲律宾比索,PHP,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
SGP,新加坡,Singapore,Asia,东南亚,新加坡元,SGD,channel,资金通道:以离岸金融/投资中转为主要中国资本通道功能;不进实体风险排名(DQ04),20260817_v42
THA,泰国,Thailand,Asia,东南亚,泰铢,THB,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
TLS,东帝汶,Timor-Leste,Asia,东南亚,美元,USD,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
VNM,越南,Vietnam,Asia,东南亚,越南盾,VND,operating,"M49 东南亚主权国家,纳入亚非拉覆盖层",20260817_v42
PRK,朝鲜,North Korea,Asia,东亚,朝鲜圆,KPW,operating,"M49 东亚主权国家,纳入亚非拉覆盖层",20260817_v42
MNG,蒙古,Mongolia,Asia,东亚,蒙古图格里克,MNT,operating,"M49 东亚主权国家,纳入亚非拉覆盖层",20260817_v42
DZA,阿尔及利亚,Algeria,Africa,北非,阿尔及利亚第纳尔,DZD,operating,"M49 北非主权国家,纳入亚非拉覆盖层",20260817_v42
EGY,埃及,Egypt,Africa,北非,埃及镑,EGP,operating,"M49 北非主权国家,纳入亚非拉覆盖层",20260817_v42
LBY,利比亚,Libya,Africa,北非,利比亚第纳尔,LYD,operating,"M49 北非主权国家,纳入亚非拉覆盖层",20260817_v42
MAR,摩洛哥,Morocco,Africa,北非,摩洛哥迪拉姆,MAD,operating,"M49 北非主权国家,纳入亚非拉覆盖层",20260817_v42
SDN,苏丹,Sudan,Africa,北非,苏丹镑,SDG,operating,"M49 北非主权国家,纳入亚非拉覆盖层",20260817_v42
TUN,突尼斯,Tunisia,Africa,北非,突尼斯第纳尔,TND,operating,"M49 北非主权国家,纳入亚非拉覆盖层",20260817_v42
BEN,贝宁,Benin,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
BFA,布基纳法索,Burkina Faso,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
CIV,科特迪瓦,Cote d'Ivoire,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
GMB,冈比亚,Gambia,Africa,西非,冈比亚达拉西,GMD,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
GHA,加纳,Ghana,Africa,西非,加纳塞地,GHS,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
GIN,几内亚,Guinea,Africa,西非,几内亚法郎,GNF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
GNB,几内亚比绍,Guinea-Bissau,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
LBR,利比里亚,Liberia,Africa,西非,利比里亚元,LRD,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
MLI,马里,Mali,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
MRT,毛里塔尼亚,Mauritania,Africa,西非,毛里塔尼亚乌吉亚,MRU,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
NER,尼日尔,Niger,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
NGA,尼日利亚,Nigeria,Africa,西非,尼日利亚奈拉,NGN,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
SEN,塞内加尔,Senegal,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
SLE,塞拉利昂,Sierra Leone,Africa,西非,塞拉利昂利昂,SLE,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
TGO,多哥,Togo,Africa,西非,西非法郎,XOF,operating,"M49 西非主权国家,纳入亚非拉覆盖层",20260817_v42
AGO,安哥拉,Angola,Africa,中非,安哥拉宽扎,AOA,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
CMR,喀麦隆,Cameroon,Africa,中非,中非法郎,XAF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
CAF,中非共和国,Central African Republic,Africa,中非,中非法郎,XAF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
TCD,乍得,Chad,Africa,中非,中非法郎,XAF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
COG,刚果共和国,Republic of the Congo,Africa,中非,中非法郎,XAF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
COD,刚果民主共和国,DR Congo,Africa,中非,刚果法郎,CDF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
GNQ,赤道几内亚,Equatorial Guinea,Africa,中非,中非法郎,XAF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
GAB,加蓬,Gabon,Africa,中非,中非法郎,XAF,operating,"M49 中非主权国家,纳入亚非拉覆盖层",20260817_v42
BDI,布隆迪,Burundi,Africa,东非,布隆迪法郎,BIF,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
COM,科摩罗,Comoros,Africa,东非,科摩罗法郎,KMF,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
DJI,吉布提,Djibouti,Africa,东非,吉布提法郎,DJF,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
ERI,厄立特里亚,Eritrea,Africa,东非,厄立特里亚纳克法,ERN,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
ETH,埃塞俄比亚,Ethiopia,Africa,东非,埃塞俄比亚比尔,ETB,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
KEN,肯尼亚,Kenya,Africa,东非,肯尼亚先令,KES,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
MDG,马达加斯加,Madagascar,Africa,东非,马达加斯加阿里亚里,MGA,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
MWI,马拉维,Malawi,Africa,东非,马拉维克瓦查,MWK,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
MUS,毛里求斯,Mauritius,Africa,东非,毛里求斯卢比,MUR,channel,资金通道:以离岸金融/投资中转为主要中国资本通道功能;不进实体风险排名(DQ04),20260817_v42
MOZ,莫桑比克,Mozambique,Africa,东非,莫桑比克梅蒂卡尔,MZN,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
RWA,卢旺达,Rwanda,Africa,东非,卢旺达法郎,RWF,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
SOM,索马里,Somalia,Africa,东非,索马里先令,SOS,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
SSD,南苏丹,South Sudan,Africa,东非,南苏丹镑,SSP,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
TZA,坦桑尼亚,Tanzania,Africa,东非,坦桑尼亚先令,TZS,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
UGA,乌干达,Uganda,Africa,东非,乌干达先令,UGX,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
ZMB,赞比亚,Zambia,Africa,东非,赞比亚克瓦查,ZMW,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
ZWE,津巴布韦,Zimbabwe,Africa,东非,津巴布韦金,ZWG,operating,"M49 东非主权国家,纳入亚非拉覆盖层",20260817_v42
BWA,博茨瓦纳,Botswana,Africa,南部非洲,博茨瓦纳普拉,BWP,operating,"M49 南部非洲主权国家,纳入亚非拉覆盖层",20260817_v42
SWZ,斯威士兰,Eswatini,Africa,南部非洲,斯威士兰里兰吉尼,SZL,operating,"M49 南部非洲主权国家,纳入亚非拉覆盖层",20260817_v42
LSO,莱索托,Lesotho,Africa,南部非洲,莱索托洛蒂,LSL,operating,"M49 南部非洲主权国家,纳入亚非拉覆盖层",20260817_v42
