顺序,文件,工作表名,期望行,实际行,期望列,实际列,期望SHA256,实际SHA256,主键,主键重复,空主键,判定
1,dim_country.xlsx,data,130,130,11,11,da2d031bb6d99ca6759ca91ee1e425395bed491b8b47388f4ebc7639fe4ddf5e,da2d031bb6d99ca6759ca91ee1e425395bed491b8b47388f4ebc7639fe4ddf5e,iso3,0,0,PASS
2,dim_date.xlsx,data,660,660,8,8,d9cddd7223eda5687064b71e078ee27d7f144e91548e2267a69b6e98bd79fa0a,d9cddd7223eda5687064b71e078ee27d7f144e91548e2267a69b6e98bd79fa0a,date_key,0,0,PASS
3,dim_year.xlsx,data,16,16,5,5,c5e52389428ca3cce4cf10f20627dfeede9db7a413071ff0fbc2d2b88c709ffd,c5e52389428ca3cce4cf10f20627dfeede9db7a413071ff0fbc2d2b88c709ffd,year_key,0,0,PASS
4,dim_company.xlsx,data,20,20,8,8,8d39b2f9b48c352a9e7b6e60bd86c17510cfb43c2649318524e42e4151d21904,8d39b2f9b48c352a9e7b6e60bd86c17510cfb43c2649318524e42e4151d21904,company_id,0,0,PASS
5,dim_asset.xlsx,data,10,10,8,8,e73a7d660238cb69bcba1dcf83699d787a0b011a5b8bb7086d5b926a168c8646,e73a7d660238cb69bcba1dcf83699d787a0b011a5b8bb7086d5b926a168c8646,asset_id,0,0,PASS
6,dim_event.xlsx,data,60,60,10,10,7a725f650419e4eee2e039968c8ad1eaba8ce7ae09978f7a9b03731aaba07199,7a725f650419e4eee2e039968c8ad1eaba8ce7ae09978f7a9b03731aaba07199,event_id,0,0,PASS
7,country_exposure.xlsx,data,1170,1170,33,33,b92a66d3e539a4763aa7807ea8d9c9aa9cadb7536393ec2948714bce69f5aca4,b92a66d3e539a4763aa7807ea8d9c9aa9cadb7536393ec2948714bce69f5aca4,iso3+year,0,0,PASS
8,country_monthly_risk.xlsx,data,7680,7680,18,18,0d83e648b5e142661e4f3726a164887c5c8bbf25c24d5e04e6a1449265879b0e,0d83e648b5e142661e4f3726a164887c5c8bbf25c24d5e04e6a1449265879b0e,iso3+month_end,0,0,PASS
9,country_policy_year.xlsx,data,2744,2744,15,15,b2b773d363967ecec470c57e111e27cd4d835dcb2f9d6dbd4fa752a86cabedfd,b2b773d363967ecec470c57e111e27cd4d835dcb2f9d6dbd4fa752a86cabedfd,iso3+year+policy_code,0,0,PASS
10,country_event.xlsx,data,23,23,31,31,1a016b428968ad7a91f121b0a7a3569763a208cfffd35ff212724e128b87828a,1a016b428968ad7a91f121b0a7a3569763a208cfffd35ff212724e128b87828a,event_id,0,0,PASS
11,global_cycle_month.xlsx,data,660,660,36,36,ce4923fa6210148279dc2ccf2daea1073ef57ddff05c5573be7aba1e9795f64c,ce4923fa6210148279dc2ccf2daea1073ef57ddff05c5573be7aba1e9795f64c,scope_id+month_end,0,0,PASS
12,historical_crisis_event.xlsx,data,18,18,37,37,f2842eb59d47d41955a76fb21135f7f26d38c996ea0795ac8f72a67186a2df2d,f2842eb59d47d41955a76fb21135f7f26d38c996ea0795ac8f72a67186a2df2d,historical_event_id,0,0,PASS
13,company_overseas_exposure.xlsx,data,168,168,37,37,bd660364e2a23715ffde1ca66ad121cf32dec662c0f50bd136abd95e0dacca56,bd660364e2a23715ffde1ca66ad121cf32dec662c0f50bd136abd95e0dacca56,company_id+fiscal_year+geography_id,0,0,PASS
14,bridge_company_geography.xlsx,data,8,8,10,10,87b2c75347edef1e8e484fb64f37b4a3ec4d489501c3808ad85de350244bcd68,87b2c75347edef1e8e484fb64f37b4a3ec4d489501c3808ad85de350244bcd68,bridge_id,0,0,PASS
15,asset_monthly_return.xlsx,data,91727,91727,10,10,0cebd558c77c10624613d834737e09b8c416b58bc3400612a5f29a54eb9efe74,0cebd558c77c10624613d834737e09b8c416b58bc3400612a5f29a54eb9efe74,iso3+month_end+asset_id+currency_basis,0,0,PASS
16,portfolio_scenario.xlsx,data,207720,207720,19,19,2d0967bb1509fdb47fcadf1c58139c1ef1d3ab23faf3500b037235c5f26c397a,2d0967bb1509fdb47fcadf1c58139c1ef1d3ab23faf3500b037235c5f26c397a,scenario_id+strategy_id+iso3+window_end+horizon+run_id,0,0,PASS
17,case_evidence.xlsx,data,45,45,31,31,3b0b9b477d516879039e41ce991c221b80e7513d2c882bbe392702fdfd36e3d7,3b0b9b477d516879039e41ce991c221b80e7513d2c882bbe392702fdfd36e3d7,case_id,0,0,PASS
18,source_registry.xlsx,data,734,734,42,42,cf5d0cda83a8ecd27dda3088201b6101e935eb6092af0fd6554a787f23f46a51,cf5d0cda83a8ecd27dda3088201b6101e935eb6092af0fd6554a787f23f46a51,source_id,0,0,PASS
