order,object,physical,key,totalRows,keyGroups,duplicateKeyGroups,duplicateExtraRows,nullKeyRows,blankKeyRows,result
"1","V50_dim_country","dim_country_gi0c3510b657b27001","iso3","130","130","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"2","V50_dim_date","dim_date_dpkgi0c3510fdb4327001","date_key","660","660","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"3","V50_dim_year","dim_year_dpkgi0c35120bf6b27000","year_key","16","16","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"4","V50_dim_company","dim_company","company_id","20","20","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"5","V50_dim_asset","dim_asset","asset_id","10","10","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"6","V50_dim_event","dim_event_pkgi0c35127cfcb27000","event_id","60","60","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"7","V50_country_exposure","v50_country_exposure","iso3+year","1170","1170","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"8","V50_country_monthly_risk","v50_country_monthly_risk","iso3+month_end","7680","7680","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"9","V50_country_policy_year","v50_country_policy_year","iso3+year+policy_code","2744","2744","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"10","V50_country_event","v50_country_event","event_id","23","23","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"11","V50_global_cycle_month","v50_global_cycle_month","scope_id+month_end","660","660","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"12","V50_historical_crisis_event","v50_historical_crisis_event","historical_event_id","18","18","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"13","V50_company_overseas_exposure","v50_company_overseas_exposure","company_id+fiscal_year+geography_id","168","168","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"14","V50_bridge_company_geography","v50_bridge_company_geography","bridge_id","8","8","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"15","V50_asset_monthly_return","v50_asset_monthly_return","iso3+month_end+asset_id+currency_basis","91727","91727","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"16","V50_portfolio_scenario","v50_portfolio_scenario","scenario_id+strategy_id+iso3+window_end+horizon+run_id","207720","207720","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"17","V50_case_evidence","v50_case_evidence","case_id","45","45","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"18","V50_source_registry","v50_source_registry","source_id","734","734","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"19","V50_MVP_country_latest","v50_mvp_country_latest","iso3","40","40","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"20","V50_MVP_company_data_status","mvp_company_data_status","company_id","20","20","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
"21","V50_MVP_cycle_state","v50_mvp_cycle_state","scope_id+month_end","660","660","0","0","0","0","PASS_PRIMARY_KEY_ONLY"
