图表,系列,month_end,基线值
KPI,不同国家数(distinct iso3),,3
折线1_fx_avg_lcu_per_usd,TUR,2024-01-31,30.07387
折线1_fx_avg_lcu_per_usd,TUR,2024-02-29,30.8071
折线1_fx_avg_lcu_per_usd,TUR,2024-03-31,32.05383
折线1_fx_avg_lcu_per_usd,TUR,2024-04-30,32.36986
折线1_fx_avg_lcu_per_usd,TUR,2024-05-31,32.26137
折线1_fx_avg_lcu_per_usd,TUR,2024-06-30,32.585
折线1_fx_avg_lcu_per_usd,TUR,2024-07-31,32.91098
折线1_fx_avg_lcu_per_usd,TUR,2024-08-31,33.68875
折线1_fx_avg_lcu_per_usd,TUR,2024-09-30,34.06145
折线1_fx_avg_lcu_per_usd,TUR,2024-10-31,34.25546
折线1_fx_avg_lcu_per_usd,TUR,2024-11-30,34.46645
折线1_fx_avg_lcu_per_usd,TUR,2024-12-31,35.0037
折线1_fx_avg_lcu_per_usd,TUR,2025-01-31,35.53633
折线1_fx_avg_lcu_per_usd,TUR,2025-02-28,36.20265
折线1_fx_avg_lcu_per_usd,TUR,2025-03-31,37.1049
折线1_fx_avg_lcu_per_usd,TUR,2025-04-30,38.13782
折线1_fx_avg_lcu_per_usd,TUR,2025-05-31,38.82036
折线1_fx_avg_lcu_per_usd,TUR,2025-06-30,39.44932
折线1_fx_avg_lcu_per_usd,TUR,2025-07-31,40.24301
折线1_fx_avg_lcu_per_usd,TUR,2025-08-31,40.85767
折线1_fx_avg_lcu_per_usd,TUR,2025-09-30,41.33795
折线1_fx_avg_lcu_per_usd,TUR,2025-10-31,41.84578
折线1_fx_avg_lcu_per_usd,TUR,2025-11-30,42.29923
折线1_fx_avg_lcu_per_usd,TUR,2025-12-31,42.70252
折线1_fx_avg_lcu_per_usd,NGA,2024-01-31,934.1944999999999
折线1_fx_avg_lcu_per_usd,NGA,2024-02-29,1501.436
折线1_fx_avg_lcu_per_usd,NGA,2024-03-31,1517.839
折线1_fx_avg_lcu_per_usd,NGA,2024-04-30,1239.691
折线1_fx_avg_lcu_per_usd,NGA,2024-05-31,1452.61
折线1_fx_avg_lcu_per_usd,NGA,2024-06-30,1498.728
折线1_fx_avg_lcu_per_usd,NGA,2024-07-31,1581.788
折线1_fx_avg_lcu_per_usd,NGA,2024-08-31,1594.038
折线1_fx_avg_lcu_per_usd,NGA,2024-09-30,1632.946
折线1_fx_avg_lcu_per_usd,NGA,2024-10-31,1639.961
折线1_fx_avg_lcu_per_usd,NGA,2024-11-30,1673.5
折线1_fx_avg_lcu_per_usd,NGA,2024-12-31,1572.08
折线1_fx_avg_lcu_per_usd,NGA,2025-01-31,1545.804
折线1_fx_avg_lcu_per_usd,NGA,2025-02-28,1502.268
