iso3,month_end,字段
TUR,2024-01-31,fx_avg_source
TUR,2024-01-31,cpi_source
TUR,2024-02-29,fx_avg_source
TUR,2024-02-29,cpi_source
TUR,2024-03-31,fx_avg_source
TUR,2024-03-31,cpi_source
TUR,2024-04-30,fx_avg_source
TUR,2024-04-30,cpi_source
TUR,2024-05-31,fx_avg_source
TUR,2024-05-31,cpi_source
TUR,2024-06-30,fx_avg_source
TUR,2024-06-30,cpi_source
TUR,2024-07-31,fx_avg_source
TUR,2024-07-31,cpi_source
TUR,2024-08-31,fx_avg_source
TUR,2024-08-31,cpi_source
TUR,2024-09-30,fx_avg_source
TUR,2024-09-30,cpi_source
TUR,2024-10-31,fx_avg_source
TUR,2024-10-31,cpi_source
TUR,2024-11-30,fx_avg_source
TUR,2024-11-30,cpi_source
TUR,2024-12-31,fx_avg_source
TUR,2024-12-31,cpi_source
TUR,2025-01-31,fx_avg_source
TUR,2025-01-31,cpi_source
TUR,2025-02-28,fx_avg_source
TUR,2025-02-28,cpi_source
TUR,2025-03-31,fx_avg_source
TUR,2025-03-31,cpi_source
TUR,2025-04-30,fx_avg_source
TUR,2025-04-30,cpi_source
TUR,2025-05-31,fx_avg_source
TUR,2025-05-31,cpi_source
TUR,2025-06-30,fx_avg_source
TUR,2025-06-30,cpi_source
TUR,2025-07-31,fx_avg_source
TUR,2025-07-31,cpi_source
TUR,2025-08-31,fx_avg_source
TUR,2025-08-31,cpi_source
TUR,2025-09-30,fx_avg_source
TUR,2025-09-30,cpi_source
TUR,2025-10-31,fx_avg_source
TUR,2025-10-31,cpi_source
TUR,2025-11-30,fx_avg_source
TUR,2025-11-30,cpi_source
TUR,2025-12-31,fx_avg_source
TUR,2025-12-31,cpi_source
NGA,2024-01-31,fx_reserves_usd
NGA,2024-01-31,reserve_import_months
NGA,2024-01-31,fx_avg_source
NGA,2024-01-31,cpi_source
NGA,2024-02-29,fx_reserves_usd
NGA,2024-02-29,reserve_import_months
NGA,2024-02-29,fx_avg_source
NGA,2024-02-29,cpi_source
NGA,2024-03-31,fx_reserves_usd
NGA,2024-03-31,reserve_import_months
NGA,2024-03-31,fx_avg_source
NGA,2024-03-31,cpi_source
NGA,2024-04-30,fx_reserves_usd
NGA,2024-04-30,reserve_import_months
NGA,2024-04-30,fx_avg_source
NGA,2024-04-30,cpi_source
NGA,2024-05-31,fx_reserves_usd
NGA,2024-05-31,reserve_import_months
NGA,2024-05-31,fx_avg_source
NGA,2024-05-31,cpi_source
NGA,2024-06-30,fx_reserves_usd
NGA,2024-06-30,reserve_import_months
NGA,2024-06-30,fx_avg_source
NGA,2024-06-30,cpi_source
NGA,2024-07-31,fx_reserves_usd
NGA,2024-07-31,reserve_import_months
NGA,2024-07-31,fx_avg_source
NGA,2024-07-31,cpi_source
NGA,2024-08-31,fx_reserves_usd
NGA,2024-08-31,reserve_import_months
NGA,2024-08-31,fx_avg_source
NGA,2024-08-31,cpi_source
NGA,2024-09-30,fx_reserves_usd
NGA,2024-09-30,reserve_import_months
NGA,2024-09-30,fx_avg_source
NGA,2024-09-30,cpi_source
NGA,2024-10-31,fx_reserves_usd
NGA,2024-10-31,reserve_import_months
NGA,2024-10-31,fx_avg_source
NGA,2024-10-31,cpi_source
NGA,2024-11-30,fx_reserves_usd
NGA,2024-11-30,reserve_import_months
NGA,2024-11-30,fx_avg_source
NGA,2024-11-30,cpi_source
NGA,2024-12-31,fx_reserves_usd
NGA,2024-12-31,reserve_import_months
NGA,2024-12-31,fx_avg_source
NGA,2024-12-31,cpi_source
NGA,2025-01-31,fx_reserves_usd
NGA,2025-01-31,reserve_import_months
NGA,2025-01-31,imports_usd
NGA,2025-01-31,fx_avg_source
NGA,2025-01-31,cpi_source
NGA,2025-02-28,fx_reserves_usd
NGA,2025-02-28,reserve_import_months
NGA,2025-02-28,imports_usd
NGA,2025-02-28,fx_avg_source
NGA,2025-02-28,cpi_source
NGA,2025-03-31,fx_reserves_usd
NGA,2025-03-31,reserve_import_months
NGA,2025-03-31,imports_usd
NGA,2025-03-31,fx_avg_source
NGA,2025-03-31,cpi_source
NGA,2025-04-30,fx_reserves_usd
NGA,2025-04-30,reserve_import_months
NGA,2025-04-30,imports_usd
NGA,2025-04-30,fx_avg_source
NGA,2025-04-30,cpi_source
NGA,2025-05-31,fx_reserves_usd
NGA,2025-05-31,reserve_import_months
NGA,2025-05-31,imports_usd
NGA,2025-05-31,fx_avg_source
NGA,2025-05-31,cpi_source
NGA,2025-06-30,fx_reserves_usd
NGA,2025-06-30,reserve_import_months
NGA,2025-06-30,imports_usd
NGA,2025-06-30,fx_avg_source
NGA,2025-06-30,cpi_source
NGA,2025-07-31,fx_reserves_usd
NGA,2025-07-31,reserve_import_months
NGA,2025-07-31,imports_usd
NGA,2025-07-31,fx_avg_source
NGA,2025-07-31,cpi_source
NGA,2025-08-31,fx_reserves_usd
NGA,2025-08-31,reserve_import_months
NGA,2025-08-31,imports_usd
NGA,2025-08-31,fx_avg_source
NGA,2025-08-31,cpi_source
NGA,2025-09-30,fx_reserves_usd
NGA,2025-09-30,reserve_import_months
NGA,2025-09-30,imports_usd
NGA,2025-09-30,fx_avg_source
NGA,2025-09-30,cpi_source
NGA,2025-10-31,fx_reserves_usd
NGA,2025-10-31,reserve_import_months
NGA,2025-10-31,imports_usd
NGA,2025-10-31,fx_avg_source
NGA,2025-10-31,cpi_source
NGA,2025-11-30,fx_reserves_usd
NGA,2025-11-30,reserve_import_months
NGA,2025-11-30,imports_usd
NGA,2025-11-30,fx_avg_source
NGA,2025-11-30,cpi_source
NGA,2025-12-31,fx_reserves_usd
NGA,2025-12-31,reserve_import_months
NGA,2025-12-31,imports_usd
NGA,2025-12-31,fx_avg_source
NGA,2025-12-31,cpi_source
ZWE,2024-01-31,cpi_index
ZWE,2024-01-31,fx_reserves_usd
ZWE,2024-01-31,reserve_import_months
ZWE,2024-01-31,imports_usd
ZWE,2024-01-31,fx_avg_source
ZWE,2024-01-31,cpi_source
ZWE,2024-02-29,cpi_index
ZWE,2024-02-29,fx_reserves_usd
ZWE,2024-02-29,reserve_import_months
ZWE,2024-02-29,imports_usd
ZWE,2024-02-29,fx_avg_source
ZWE,2024-02-29,cpi_source
ZWE,2024-03-31,cpi_index
ZWE,2024-03-31,fx_reserves_usd
ZWE,2024-03-31,reserve_import_months
ZWE,2024-03-31,imports_usd
ZWE,2024-03-31,fx_avg_source
ZWE,2024-03-31,cpi_source
ZWE,2024-04-30,cpi_index
ZWE,2024-04-30,fx_reserves_usd
ZWE,2024-04-30,reserve_import_months
ZWE,2024-04-30,imports_usd
ZWE,2024-04-30,fx_avg_source
ZWE,2024-04-30,cpi_source
ZWE,2024-05-31,fx_avg_lcu_per_usd
ZWE,2024-05-31,cpi_index
ZWE,2024-05-31,fx_reserves_usd
ZWE,2024-05-31,reserve_import_months
ZWE,2024-05-31,imports_usd
ZWE,2024-05-31,fx_avg_source
ZWE,2024-05-31,cpi_source
ZWE,2024-06-30,fx_avg_lcu_per_usd
ZWE,2024-06-30,cpi_index
ZWE,2024-06-30,fx_reserves_usd
ZWE,2024-06-30,reserve_import_months
ZWE,2024-06-30,imports_usd
ZWE,2024-06-30,fx_avg_source
ZWE,2024-06-30,cpi_source
ZWE,2024-07-31,fx_avg_lcu_per_usd
ZWE,2024-07-31,cpi_index
ZWE,2024-07-31,fx_reserves_usd
ZWE,2024-07-31,reserve_import_months
ZWE,2024-07-31,imports_usd
ZWE,2024-07-31,fx_avg_source
ZWE,2024-07-31,cpi_source
ZWE,2024-08-31,fx_avg_lcu_per_usd
ZWE,2024-08-31,cpi_index
ZWE,2024-08-31,fx_reserves_usd
ZWE,2024-08-31,reserve_import_months
ZWE,2024-08-31,imports_usd
ZWE,2024-08-31,fx_avg_source
ZWE,2024-08-31,cpi_source
ZWE,2024-09-30,fx_avg_lcu_per_usd
ZWE,2024-09-30,cpi_index
ZWE,2024-09-30,fx_reserves_usd
ZWE,2024-09-30,reserve_import_months
ZWE,2024-09-30,imports_usd
ZWE,2024-09-30,fx_avg_source
ZWE,2024-09-30,cpi_source
ZWE,2024-10-31,fx_avg_lcu_per_usd
ZWE,2024-10-31,cpi_index
ZWE,2024-10-31,fx_reserves_usd
ZWE,2024-10-31,reserve_import_months
ZWE,2024-10-31,imports_usd
ZWE,2024-10-31,fx_avg_source
ZWE,2024-10-31,cpi_source
ZWE,2024-11-30,fx_avg_lcu_per_usd
ZWE,2024-11-30,cpi_index
ZWE,2024-11-30,fx_reserves_usd
ZWE,2024-11-30,reserve_import_months
ZWE,2024-11-30,imports_usd
ZWE,2024-11-30,fx_avg_source
ZWE,2024-11-30,cpi_source
ZWE,2024-12-31,fx_avg_lcu_per_usd
ZWE,2024-12-31,cpi_index
ZWE,2024-12-31,fx_reserves_usd
ZWE,2024-12-31,reserve_import_months
ZWE,2024-12-31,imports_usd
ZWE,2024-12-31,fx_avg_source
ZWE,2024-12-31,cpi_source
ZWE,2025-01-31,fx_avg_lcu_per_usd
ZWE,2025-01-31,cpi_index
ZWE,2025-01-31,fx_reserves_usd
ZWE,2025-01-31,reserve_import_months
ZWE,2025-01-31,imports_usd
ZWE,2025-01-31,fx_avg_source
ZWE,2025-01-31,cpi_source
ZWE,2025-02-28,fx_avg_lcu_per_usd
ZWE,2025-02-28,cpi_index
ZWE,2025-02-28,fx_reserves_usd
ZWE,2025-02-28,reserve_import_months
ZWE,2025-02-28,imports_usd
ZWE,2025-02-28,fx_avg_source
ZWE,2025-02-28,cpi_source
ZWE,2025-03-31,fx_avg_lcu_per_usd
ZWE,2025-03-31,cpi_index
ZWE,2025-03-31,fx_reserves_usd
ZWE,2025-03-31,reserve_import_months
ZWE,2025-03-31,imports_usd
ZWE,2025-03-31,fx_avg_source
ZWE,2025-03-31,cpi_source
ZWE,2025-04-30,fx_avg_lcu_per_usd
ZWE,2025-04-30,cpi_index
ZWE,2025-04-30,fx_reserves_usd
ZWE,2025-04-30,reserve_import_months
ZWE,2025-04-30,imports_usd
ZWE,2025-04-30,fx_avg_source
ZWE,2025-04-30,cpi_source
ZWE,2025-05-31,fx_avg_lcu_per_usd
ZWE,2025-05-31,cpi_index
ZWE,2025-05-31,fx_reserves_usd
ZWE,2025-05-31,reserve_import_months
ZWE,2025-05-31,imports_usd
ZWE,2025-05-31,fx_avg_source
ZWE,2025-05-31,cpi_source
ZWE,2025-06-30,fx_avg_lcu_per_usd
ZWE,2025-06-30,cpi_index
ZWE,2025-06-30,fx_reserves_usd
ZWE,2025-06-30,reserve_import_months
ZWE,2025-06-30,imports_usd
ZWE,2025-06-30,fx_avg_source
ZWE,2025-06-30,cpi_source
ZWE,2025-07-31,fx_avg_lcu_per_usd
ZWE,2025-07-31,cpi_index
ZWE,2025-07-31,fx_reserves_usd
ZWE,2025-07-31,reserve_import_months
ZWE,2025-07-31,imports_usd
ZWE,2025-07-31,fx_avg_source
ZWE,2025-07-31,cpi_source
ZWE,2025-08-31,fx_avg_lcu_per_usd
ZWE,2025-08-31,cpi_index
ZWE,2025-08-31,fx_reserves_usd
ZWE,2025-08-31,reserve_import_months
ZWE,2025-08-31,imports_usd
ZWE,2025-08-31,fx_avg_source
ZWE,2025-08-31,cpi_source
ZWE,2025-09-30,fx_avg_lcu_per_usd
ZWE,2025-09-30,cpi_index
ZWE,2025-09-30,fx_reserves_usd
ZWE,2025-09-30,reserve_import_months
ZWE,2025-09-30,imports_usd
ZWE,2025-09-30,fx_avg_source
ZWE,2025-09-30,cpi_source
ZWE,2025-10-31,fx_avg_lcu_per_usd
ZWE,2025-10-31,cpi_index
ZWE,2025-10-31,fx_reserves_usd
ZWE,2025-10-31,reserve_import_months
ZWE,2025-10-31,imports_usd
ZWE,2025-10-31,fx_avg_source
ZWE,2025-10-31,cpi_source
ZWE,2025-11-30,fx_avg_lcu_per_usd
ZWE,2025-11-30,cpi_index
ZWE,2025-11-30,fx_reserves_usd
ZWE,2025-11-30,reserve_import_months
ZWE,2025-11-30,imports_usd
ZWE,2025-11-30,fx_avg_source
ZWE,2025-11-30,cpi_source
ZWE,2025-12-31,fx_avg_lcu_per_usd
ZWE,2025-12-31,cpi_index
ZWE,2025-12-31,fx_reserves_usd
ZWE,2025-12-31,reserve_import_months
ZWE,2025-12-31,imports_usd
ZWE,2025-12-31,fx_avg_source
ZWE,2025-12-31,cpi_source
