iso3,months,fx_nn,cpi_nn,fx_real,cpi_real,country,region
AGO,192,192,192,192,192,安哥拉,Africa
BEN,192,192,192,192,192,贝宁,Africa
BGD,192,192,192,192,192,孟加拉国,Asia
BOL,192,192,192,192,192,玻利维亚,LatinAmerica
BRA,192,192,192,192,192,巴西,LatinAmerica
CHL,192,192,192,192,192,智利,LatinAmerica
CIV,192,192,192,192,192,科特迪瓦,Africa
COL,192,192,192,192,192,哥伦比亚,LatinAmerica
DJI,192,192,192,192,192,吉布提,Africa
DMA,192,192,192,192,192,多米尼克,LatinAmerica
ECU,192,192,192,192,192,厄瓜多尔,LatinAmerica
EGY,192,192,192,192,192,埃及,Africa
ETH,192,192,192,192,192,埃塞俄比亚,Africa
GEO,192,192,192,192,192,格鲁吉亚,Asia
GHA,192,192,192,192,192,加纳,Africa
GIN,192,192,192,192,192,几内亚,Africa
GRD,192,192,192,192,192,格林纳达,LatinAmerica
IND,192,192,192,192,192,印度,Asia
IRN,192,192,192,192,192,伊朗,Asia
JOR,192,192,192,192,192,约旦,Asia
KAZ,192,192,192,192,192,哈萨克斯坦,Asia
KEN,192,192,192,192,192,肯尼亚,Africa
KGZ,192,192,192,192,192,吉尔吉斯斯坦,Asia
LAO,192,187,192,187,192,老挝,Asia
MEX,192,192,192,192,192,墨西哥,LatinAmerica
MNG,192,192,192,192,192,蒙古,Asia
MOZ,192,192,192,192,192,莫桑比克,Africa
NGA,192,192,192,192,192,尼日利亚,Africa
OMN,192,192,192,192,192,阿曼,Asia
PAK,192,192,192,192,192,巴基斯坦,Asia
PER,192,192,192,192,192,秘鲁,LatinAmerica
SAU,192,192,192,192,192,沙特阿拉伯,Asia
SDN,192,166,158,166,158,苏丹,Africa
SUR,192,192,190,192,190,苏里南,LatinAmerica
TJK,192,192,192,192,192,塔吉克斯坦,Asia
TUR,192,192,192,192,192,土耳其,Asia
URY,192,192,192,192,192,乌拉圭,LatinAmerica
UZB,192,192,192,192,192,乌兹别克斯坦,Asia
ZMB,192,192,192,192,192,赞比亚,Africa
ZWE,192,172,164,172,164,津巴布韦,Africa
