iso3,horizon,window_end,grid,no_gold,no_usd,去黄金-完整,去美元-完整,cycle
OMN,90d,2010-03-31,0.0001243866596043475,0.0002776613103923076,-0.0001392319524996521,0.00015327465078796013,-0.0002636186121039996,正常扩张
OMN,90d,2010-04-30,0.001171980942498596,0.0003588222314807599,0.0008309918374898029,-0.0008131587110178362,-0.0003409891050087932,正常扩张
OMN,90d,2010-05-31,0.003290216071834218,0.0003952750815270356,0.002913873961095437,-0.0028949409903071825,-0.000376342110738781,正常扩张
OMN,90d,2010-06-30,0.003104891101111562,6.113168299792804e-06,0.003099124514212681,-0.0030987779328117693,-5.766586898880988e-06,正常扩张
OMN,90d,2010-07-31,0.001296966711905823,0.0001456496909666427,0.001158264776629059,-0.0011513170209391803,-0.000138701935276764,正常扩张
OMN,90d,2010-08-31,0.0004110092042592939,0.000143149464355119,0.0002747580762310076,-0.0002678597399041749,-0.00013625112802828626,正常扩张
OMN,90d,2010-09-30,0.00115582227791533,0.0002289990109207718,0.000937891741051855,-0.0009268232669945582,-0.00021793053686347498,正常扩张
OMN,90d,2010-10-31,0.003652444230746843,7.088748236983022e-05,0.00358492326116977,-0.0035815567483770128,-6.752096957707288e-05,正常扩张
OMN,90d,2010-11-30,0.003839989337767413,0.0002098604481481914,0.003640045349939891,-0.0036301288896192214,-0.00019994398782752177,正常扩张
OMN,90d,2010-12-31,0.002935561392964692,0.00020437019499564,0.002741040508247083,-0.002731191197969052,-0.00019452088471760918,正常扩张
OMN,90d,2011-01-31,0.0006012639735539782,0.000217798829681648,0.0003943439074836075,-0.0003834651438723302,-0.00020692006607037072,正常扩张
OMN,90d,2011-02-28,0.0001560104331110868,6.73770911596705e-05,9.19655311628631e-05,-8.863334195141631e-05,-6.404490194822371e-05,正常扩张
OMN,90d,2011-03-31,0.0007942160173817214,0.0001172744379476232,0.0006827340250796787,-0.0006769415794340983,-0.0001114819923020427,正常扩张
OMN,90d,2011-04-30,0.002643786102338508,7.052133977580866e-05,0.002576660687282351,-0.002573264762562699,-6.712541505615689e-05,正常扩张
OMN,90d,2011-05-31,0.002918442090200868,2.494355564919282e-05,0.00289470419809934,-0.002893498534551675,-2.373789210152787e-05,正常扩张
OMN,90d,2011-06-30,0.002157008802776916,-6.637463371261809e-06,0.002163328318585345,-0.0021636462661481777,6.319515808429245e-06,正常扩张
OMN,90d,2011-07-31,0.001787227897590338,-1.71373490533977e-05,0.00180352804828332,-0.0018043652466437356,1.630015069298209e-05,正常扩张
OMN,90d,2011-08-31,0.004681820603908093,-2.543952176459197e-05,0.004706051759497676,-0.004707260125672685,2.4231155589582443e-05,正常扩张
OMN,90d,2011-09-30,0.004574674927682043,-3.717089970389775e-05,0.004610098164000487,-0.004611845827385941,3.5423236318443685e-05,正常扩张
OMN,90d,2011-10-31,0.001898067918902235,-4.642061368376194e-05,0.001942233125870496,-0.0019444885325859969,4.416520696826098e-05,正常扩张
OMN,90d,2011-11-30,-0.0003360521597399746,-5.159435290980063e-05,-0.0002870509102339547,0.00028445780683017396,4.900124950601992e-05,正常扩张
OMN,90d,2011-12-31,-0.002265751473352506,-5.278478921955099e-05,-0.002215681259293278,0.002212966684132955,5.007021405922796e-05,正常扩张
OMN,90d,2012-01-31,-0.0002086320711852663,-4.503507818109931e-05,-0.000165848428740234,0.000163596993004167,4.27836424450323e-05,正常扩张
OMN,90d,2012-02-29,0.0001638783747017758,-6.036132568110197e-06,0.0001696760485074833,-0.000169914507269886,5.797673805707504e-06,正常扩张
OMN,90d,2012-03-31,0.00057926604064229,-0.0001115344813892305,0.0006854699766165595,-0.0006908005220315205,0.00010620393597426947,正常扩张
OMN,90d,2012-04-30,4.849033576004302e-06,5.49646160734607e-05,-4.726362206453061e-05,5.0115582497456394e-05,-5.211265564053491e-05,正常扩张
OMN,90d,2012-05-31,-0.0028690173483501,-8.186183671421432e-05,-0.002791275946166683,0.0027871555116358855,7.774140218341687e-05,正常扩张
OMN,90d,2012-06-30,-0.001215840353633646,0.0001992725754409452,-0.001404807509057249,0.0014151129290745912,-0.00018896715542360298,正常扩张
OMN,90d,2012-07-31,-0.001032055478105587,-6.066238547375313e-06,-0.001026145199396145,0.0010259892395582117,5.910278709442057e-06,激进紧缩
OMN,90d,2012-08-31,0.000610504465927475,-0.0001320601190746284,0.0007359342485113718,-0.0007425645850021034,0.0001254297825838968,激进紧缩
OMN,90d,2012-09-30,0.002671088144785116,-3.768444120089143e-07,0.00267187836435534,-0.002671464989197125,7.902195702240607e-07,正常扩张
OMN,90d,2012-10-31,0.00295175696757366,0.0001515142447372497,0.002807844251312641,-0.00280024272283641,-0.00014391271626101876,正常扩张
OMN,90d,2012-11-30,0.0021068617149409,0.0004151697866963122,0.001712351251740074,-0.001691691928244588,-0.00039451046320082605,正常扩张
OMN,90d,2012-12-31,-0.0009315239511950013,0.0001370735164039072,-0.001061617678879911,0.0010685974675989085,-0.0001300937276849097,正常扩张
OMN,90d,2013-01-31,-0.001289401128023449,4.3893460181188e-05,-0.001331062397159966,0.001333294588204637,-4.166126913651702e-05,正常扩张
OMN,90d,2013-02-28,-0.001646667986997974,4.661720470244823e-05,-0.00169090692601781,0.0016932851917004221,-4.423893901983611e-05,正常扩张
OMN,90d,2013-03-31,-0.001638964566700762,5.511751594533543e-05,-0.001691270390091426,0.0016940820826460974,-5.230582339066413e-05,正常扩张
OMN,90d,2013-04-30,-0.003389224967033977,4.797435184444865e-05,-0.003434683420220463,0.0034371993188784256,-4.5458453186486125e-05,正常扩张
OMN,90d,2013-05-31,-0.004115837577039261,2.054547761343173e-05,-0.004135291728128987,0.0041363830546526925,-1.9454151089726146e-05,正常扩张
OMN,90d,2013-06-30,-0.00506897607302359,-7.563007625011053e-05,-0.004997380085776215,0.0049933459967734795,7.159598724737481e-05,正常扩张
OMN,90d,2013-07-31,-0.004301116731976418,-9.973596281076524e-06,-0.004291652309363236,0.004291143135695341,9.464422613181256e-06,正常扩张
OMN,90d,2013-08-31,-0.001278232728736173,-1.020086741321258e-05,-0.001268532764614028,0.0012680318613229604,9.699964122144916e-06,正常扩张
OMN,90d,2013-09-30,0.0002233788797223468,5.047858408646633e-05,0.00017532641421103,-0.00017290029563588047,-4.8052465511316784e-05,正常扩张
OMN,90d,2013-10-31,0.000713557083487304,-2.154537293397318e-05,0.0007340377441968915,-0.0007351024564212771,2.048066070958754e-05,正常扩张
OMN,90d,2013-11-30,-0.001746516938728293,-9.416409066820286e-06,-0.001737592760306939,0.0017371005296614728,8.924178421354078e-06,正常扩张
OMN,90d,2013-12-31,-0.002923523289983909,1.591711638737614e-05,-0.002938617281741829,0.0029394404063712853,-1.509399175791959e-05,正常扩张
OMN,90d,2014-01-31,-0.001676412042143416,1.394738537996432e-05,-0.001689659471345917,0.0016903594275233804,-1.3247429202500882e-05,正常扩张
OMN,90d,2014-02-28,0.0005990693007453807,6.315768274811617e-06,0.0005930556155973044,-0.0005927535324705691,-6.01368514807632e-06,正常扩张
OMN,90d,2014-03-31,0.002696564202482987,-8.270744570326727e-07,0.002697352966848365,-0.0026973912769400195,7.88764365378114e-07,正常扩张
OMN,90d,2014-04-30,0.001294259080615756,-7.017566162392797e-06,0.001300944863932507,-0.0013012766467781487,6.6857833167510705e-06,正常扩张
OMN,90d,2014-05-31,-0.0002737783076720568,-1.714279506770389e-05,-0.0002574862959877633,0.0002566355126043529,1.6292011684293506e-05,正常扩张
OMN,90d,2014-06-30,-0.001344028452751944,-2.547597562396753e-05,-0.001319846964197957,0.0013185524771279764,2.4181488553986835e-05,正常扩张
OMN,90d,2014-07-31,0.0002569135379937304,-2.777031131773189e-05,0.0002832979492137788,-0.0002846838493114623,2.638441122004842e-05,正常扩张
OMN,90d,2014-08-31,9.894320277625823e-05,-2.753222059437288e-05,0.000125098465885598,-0.0001264754233706311,2.6155263109339772e-05,正常扩张
OMN,90d,2014-09-30,-0.001019800278401761,-3.538920324819284e-05,-0.0009861996572357867,0.0009844110751535682,3.360062116597429e-05,正常扩张
OMN,90d,2014-10-31,-0.002136747001832418,-4.016181802168894e-05,-0.002098645156046963,0.002096585183810729,3.810184578545515e-05,正常扩张
OMN,90d,2014-11-30,-0.002928384624077407,-4.575687935959305e-05,-0.002885000246742986,0.002882627744717814,4.338437733442113e-05,正常扩张
OMN,90d,2014-12-31,-0.0009197535149310099,-4.121156462022491e-05,-0.0008806219561705575,0.000878541950310785,3.913155876045238e-05,正常扩张
OMN,90d,2015-01-31,0.0006972027594160934,-3.587078702804725e-05,0.0007313008698104362,-0.0007330735464441407,3.409811039434274e-05,正常扩张
OMN,90d,2015-02-28,0.001274798910587904,-3.775671100658684e-05,0.001310703983251615,-0.001312555621594491,3.590507266371091e-05,正常扩张
OMN,90d,2015-03-31,-0.0005644293333146866,-3.843851057316883e-05,-0.0005279238069599845,0.0005259908227415178,3.6505526354702056e-05,正常扩张
OMN,90d,2015-04-30,-0.001305204153670747,-4.059754277929706e-05,-0.00126667026327576,0.00126460661089145,3.853389039498701e-05,激进紧缩
OMN,90d,2015-05-31,-0.0007307329990750011,-4.129489408311038e-05,-0.0006915236616273912,0.0006894381049918907,3.9209337447609904e-05,激进紧缩
OMN,90d,2015-06-30,1.180466130867863e-05,-4.765833852671264e-05,5.708369442869454e-05,-5.946299983539127e-05,4.527903312001591e-05,正常扩张
OMN,90d,2015-07-31,-0.001862449976411162,-4.311303966175739e-05,-0.00182154821164271,0.0018193369367494046,4.0901764768452e-05,正常扩张
OMN,90d,2015-08-31,-0.002101649742722533,-1.541138904059824e-05,-0.002087023527048482,0.0020862383536819347,1.462621567405089e-05,正常扩张
OMN,90d,2015-09-30,-0.001485069215117263,-1.07685222004994e-05,-0.001474847638029408,0.0014743006929167637,1.0221577087855078e-05,正常扩张
OMN,90d,2015-10-31,0.0007845216969692981,-1.857153763940023e-05,0.0008021595393679082,-0.0008030932346086983,1.7637842398610104e-05,正常扩张
OMN,90d,2015-11-30,-0.0008149117934330707,8.633172940530898e-06,-0.0008231918636937285,0.0008235449663736016,-8.280070260657801e-06,正常扩张
OMN,90d,2015-12-31,-0.001181563483352965,0.0001108106934240016,-0.001286805325940832,0.0012923741767769665,-0.00010524184258786716,正常扩张
OMN,90d,2016-01-31,-0.001360144952023079,0.0002311769128846564,-0.001579448924301508,0.0015913218649077354,-0.0002193039722784289,正常扩张
OMN,90d,2016-02-29,0.003408084264792333,0.0003252871790206946,0.003098490259299203,-0.0030827970857716385,-0.0003095940054931301,正常扩张
OMN,90d,2016-03-31,0.004914501067910138,0.0004266588615922107,0.004507963851517749,-0.004487842206317928,-0.00040653721639238947,正常扩张
OMN,90d,2016-04-30,0.00414468861091466,0.0003449776607620247,0.003816261767517704,-0.003799710950152635,-0.0003284268433969557,正常扩张
OMN,90d,2016-05-31,0.001795867070452539,0.0003260569705292315,0.0014859037104058,-0.0014698100999233075,-0.0003099633600467391,正常扩张
OMN,90d,2016-06-30,0.0009484945031303926,0.0002467439205247057,0.0007140048143452482,-0.0007017505826056869,-0.00023448968878514442,正常扩张
OMN,90d,2016-07-31,0.002483141916459042,0.0002753970198601241,0.002221088763404211,-0.0022077448965989177,-0.0002620531530548309,正常扩张
OMN,90d,2016-08-31,0.002176648446060581,0.0003616934757477708,0.001832528992914195,-0.0018149549703128103,-0.000344119453146386,正常扩张
OMN,90d,2016-09-30,0.001537886261193444,0.0003724753945868464,0.001183663154416426,-0.0011654108666065977,-0.0003542231067770181,正常扩张
OMN,90d,2016-10-31,-0.001163420861185038,0.0004625783373013448,-0.001602368325926196,0.0016259991984863829,-0.00043894746474115796,正常扩张
OMN,90d,2016-11-30,-0.00191852379218671,0.0004642129593974698,-0.002358832441054282,0.0023827367515841798,-0.000440308648867572,正常扩张
OMN,90d,2016-12-31,-0.003484231907882496,0.0005730596991464498,-0.004027187632161255,0.0040572916070289455,-0.0005429557242787593,正常扩张
OMN,90d,2017-01-31,-0.001136514172397796,0.0006668502224771444,-0.001769259975287762,0.0018033643948749405,-0.000632745802889966,正常扩张
OMN,90d,2017-02-28,0.000641131445456411,0.0007037752980803003,-2.742537233391129e-05,6.264385262388927e-05,-0.0006685568177903223,正常扩张
OMN,90d,2017-03-31,0.002647903591648459,0.0008217917222321791,0.001866165934317765,-0.00182611186941628,-0.000781737657330694,正常扩张
OMN,90d,2017-04-30,0.002755358225613236,0.0009665872159172473,0.001835952813442399,-0.0017887710096959886,-0.0009194054121708368,正常扩张
OMN,90d,2017-05-31,0.001548153123372975,0.001325279242633703,0.0002888046075779638,-0.00022287388073927205,-0.0012593485157950113,正常扩张
OMN,90d,2017-06-30,0.001907930740887132,0.001280904945376582,0.0006903790361454387,-0.00062702579551055,-0.0012175517047416933,正常扩张
OMN,90d,2017-07-31,0.0007623313716227376,0.001568389307243567,-0.0007270556186924626,0.0008060579356208295,-0.0014893869903152002,正常扩张
OMN,90d,2017-08-31,0.002119119869596453,0.001314498287278143,0.0008693889779087804,-0.00080462158231831,-0.0012497308916876726,正常扩张
OMN,90d,2017-09-30,0.002811393750965285,0.001619219457811738,0.001271647487062211,-0.0011921742931535468,-0.001539746263903074,正常扩张
OMN,90d,2017-10-31,0.002326057192652442,0.001363477110347011,0.001029915461726594,-0.0009625800823054311,-0.001296141730925848,正常扩张
OMN,90d,2017-11-30,0.001508700297249144,0.001621033475392997,-3.10624114115976e-05,0.0001123331781438528,-0.0015397627086607417,正常扩张
OMN,90d,2017-12-31,0.0003916377334596266,0.00165782480323684,-0.001181942546701342,0.0012661870697772133,-0.0015735802801609686,正常扩张
OMN,90d,2018-01-31,0.003031801756549379,0.0019384276581913,0.001188961932010235,-0.0010933740983580789,-0.001842839824539144,正常扩张
OMN,90d,2018-02-28,0.003145475215399207,0.002107362560931358,0.001142032988585839,-0.0010381126544678492,-0.0020034422268133682,正常扩张
OMN,90d,2018-03-31,0.003615798285718785,0.002300227194834248,0.001428462927280272,-0.001315571090884537,-0.0021873353584385127,正常扩张
OMN,90d,2018-04-30,0.002419345345042068,0.002478370318697465,6.489644489438007e-05,5.902497365539673e-05,-0.002354448900147688,正常扩张
OMN,90d,2018-05-31,0.001847309570808475,0.002634461844325697,-0.0006542576384058751,0.0007871522735172218,-0.0025015672092143504,正常扩张
OMN,90d,2018-06-30,0.001597820487549084,0.002738934712259056,-0.001002342856446514,0.0011411142247099721,-0.002600163343995598,正常扩张
OMN,90d,2018-07-31,0.0004392894239848566,0.002842461099485494,-0.00225686707126227,0.0024031716755006376,-0.0026961564952471266,正常扩张
OMN,90d,2018-08-31,0.0003682002812677165,0.002929158507405605,-0.002409906217133662,0.0025609582261378883,-0.0027781064984013786,正常扩张
OMN,90d,2018-09-30,0.0008611109273068962,0.003044399300502043,-0.002026976313506568,0.002183288373195147,-0.0028880872408134643,正常扩张
OMN,90d,2018-10-31,0.002459769621184993,0.003193918122645245,-0.000573065845584475,0.0007341485014602522,-0.003032835466769468,正常扩张
OMN,90d,2018-11-30,0.003626222964654424,0.003344942352932812,0.0004477717591082619,-0.00028128061172161224,-0.0031784512055461622,正常扩张
OMN,90d,2018-12-31,0.00455837291518546,0.003468645409611559,0.001260588094622372,-0.0010897275055739013,-0.003297784820563088,正常扩张
OMN,90d,2019-01-31,0.005204690548253676,0.003534112385855881,0.001843369610915468,-0.0016705781623977947,-0.0033613209373382076,正常扩张
OMN,90d,2019-02-28,0.005739153453753865,0.003566135449067698,0.002346231547310618,-0.0021730180046861665,-0.0033929219064432465,正常扩张
OMN,90d,2019-03-31,0.004610221361641686,0.003587037254781933,0.001200004438016267,-0.0010231841068597527,-0.0034102169236254185,正常扩张
OMN,90d,2019-04-30,0.003257286726940256,0.003591571909175917,-0.0001541548682716387,0.00033428518223566073,-0.003411441595211895,正常扩张
OMN,90d,2019-05-31,0.002542932018825272,0.003574173885198872,-0.0008504119661668641,0.0010312418663736,-0.003393343984992136,正常扩张
