iso3,country,region,fx_val,fx_date,fx_src,cpi_val,cpi_date,cpi_src,reserve_val,reserve_date,reserve_src,cover_val,cover_date,cover_src,fx_12m,fx_mult,cpi_12m,cpi_mult,trigger,event_cnt,odi_usd,odi_year,odi_src
GEO,格鲁吉亚,Asia,2.696326,2025-12-31,WEB-0048-R01,195.0165,2025-12-31,WEB-0048-R01,6159.28,2025-12-31,WEB-0048-R01,3.589057,2025-12-31,WEB-0048-R01,-0.040103923955233545,-0.20051961977616772,0.039740865183144125,0.26493910122096087,未触发,0,1253040000.0,2024,MOFCOM-2024公报
JOR,约旦,Asia,0.709,2025-12-31,WEB-0048-R01,143.4981,2025-12-31,WEB-0048-R01,39765.16,2025-12-31,WEB-0048-R01,16.69743,2025-12-31,WEB-0048-R01,-0.0006723262346771675,-0.0033616311733858373,0.013063396017019668,0.08708930678013113,未触发,0,188140000.0,2024,MOFCOM-2024公报
OMN,阿曼,Asia,0.385,2025-12-31,WEB-0048-R01,123.8806,2025-12-31,WEB-0048-R01,17110.29,2017-09-30,WEB-0048-R01,6.892312,2017-09-30,WEB-0048-R01,0.0,0.0,0.0150519978106185,0.10034665207079001,未触发,0,340370000.0,2024,MOFCOM-2024公报
SAU,沙特阿拉伯,Asia,3.751913,2025-12-31,WEB-0048-R01,139.1594,2025-12-31,WEB-0048-R01,460249.2,2025-12-31,WEB-0048-R01,20.94845,2025-12-31,WEB-0048-R01,-0.0013359304879619893,-0.006679652439809947,0.0205474429001391,0.13698295266759403,未触发,0,4006130000.0,2024,MOFCOM-2024公报
TUR,土耳其,Asia,42.70252,2025-12-31,WEB-0048-R01,2018.099,2025-12-31,WEB-0048-R01,184021.0,2025-12-31,WEB-0048-R01,5.88037,2025-12-31,WEB-0048-R01,0.21994303459348585,1.0997151729674293,0.30902416970555535,2.060161131370369,双触发,2,3098820000.0,2024,MOFCOM-2024公报
KAZ,哈萨克斯坦,Asia,511.433,2025-12-31,WEB-0048-R01,174.7,2025-12-31,WEB-0048-R01,65414.0,2025-12-31,WEB-0048-R01,10.31101,2025-12-31,WEB-0048-R01,-0.01688922994176878,-0.0844461497088439,-0.7328481884981588,-4.885654589987726,未触发,1,6183670000.0,2024,MOFCOM-2024公报
KGZ,吉尔吉斯斯坦,Asia,87.34463,2025-12-31,WEB-0048-R01,295.9873,2025-12-31,WEB-0048-R01,8603.14,2025-12-31,WEB-0048-R01,6.752892,2025-12-31,WEB-0048-R01,0.006139150860805742,0.03069575430402871,0.09366941462897338,0.6244627641931559,未触发,0,1369810000.0,2024,MOFCOM-2024公报
TJK,塔吉克斯坦,Asia,9.2434,2025-12-31,WEB-0048-R01,261.5089,2025-12-31,WEB-0048-R01,667.9998,2017-09-30,WEB-0048-R01,,,,-0.15362780646815377,-0.7681390323407689,0.0355467540377028,0.236978360251352,未触发,0,1806910000.0,2024,MOFCOM-2024公报
UZB,乌兹别克斯坦,Asia,12017.43,2025-12-31,WEB-0048-R01,167.1,2025-12-31,WEB-0048-R01,66311.75,2025-12-31,WEB-0048-R01,,,,-0.06617509930810694,-0.3308754965405347,-0.6649980975754046,-4.433320650502698,未触发,1,2205580000.0,2024,MOFCOM-2024公报
BGD,孟加拉国,Asia,122.2631,2025-12-31,WEB-0048-R01,302.3562,2025-12-31,WEB-0048-R01,33189.76,2025-12-31,WEB-0048-R01,5.708554,2025-12-31,WEB-0048-R01,0.021899317135143592,0.10949658567571796,0.08484392704372357,0.5656261802914905,未触发,0,3397030000.0,2024,MOFCOM-2024公报
IND,印度,Asia,90.0952,2025-12-31,WEB-0048-R01,241.2514,2025-12-31,WEB-0048-R01,687734.0,2025-12-31,WEB-0048-R01,10.52084,2025-12-31,WEB-0048-R01,0.060014363312748564,0.3000718165637428,0.01166140046672437,0.07774266977816247,未触发,0,2449770000.0,2024,MOFCOM-2024公报
