date,broad_dollar_index,provenance_note
2022-02-01,115.3685,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-02,115.1538,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-03,114.9065,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-04,115.1362,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-07,115.0098,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-08,115.0892,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-09,114.8232,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-10,114.5527,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-11,114.8413,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-14,115.1946,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-15,114.93,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-16,114.6886,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-17,114.6755,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-18,114.7982,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-22,114.7002,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-23,114.6668,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-24,115.9419,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-25,115.2577,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-02-28,115.2224,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-01,115.7962,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-02,115.7623,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-03,115.9495,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-04,116.6503,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-07,117.3278,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-08,117.6176,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-09,116.5961,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-10,116.7401,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-11,117.0192,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-14,117.1506,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-15,117.246,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
2022-03-16,116.8073,美联储广义美元指数；并非ICE DXY，不能冒充论文USDX
