asset_id,local_path,extension,mime_type,size_bytes,signature_result,pdf_pages,readability_result,detail
LCL-0002,01_比赛与项目基线/本地原件/02数据创新平台.pdf,.pdf,,170561,PASS,3,PASS,
LCL-0003,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/01_2022俄乌冲突-外储冻结/案例档案.md,.md,,10795,NOT_APPLICABLE,,PASS,
LCL-0004,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/02_2022俄罗斯黄金制裁免疫/案例档案.md,.md,,9299,NOT_APPLICABLE,,PASS,
LCL-0005,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/03_2024以色列-伊朗冲突/案例档案.md,.md,,8594,NOT_APPLICABLE,,PASS,
LCL-0006,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/04_2012-2013土耳其-伊朗黄金换天然气/案例档案.md,.md,,10060,NOT_APPLICABLE,,PASS,
LCL-0007,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/05_2019委内瑞拉伦敦黄金冻结/案例档案.md,.md,,10256,NOT_APPLICABLE,,PASS,
LCL-0008,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/06_2014克里米亚危机-卢布暴跌/案例档案.md,.md,,9137,NOT_APPLICABLE,,PASS,
LCL-0009,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/07_2018特朗普对伊制裁/案例档案.md,.md,,8991,NOT_APPLICABLE,,PASS,
LCL-0010,03_案例库与证据/本地原件/案例库/地缘冲突与制裁篇/08_2023苏丹内战黄金经济/案例档案.md,.md,,9849,NOT_APPLICABLE,,PASS,
LCL-0011,03_案例库与证据/本地原件/案例库/调研方向与跨国企业筛选报告.md,.md,,10585,NOT_APPLICABLE,,PASS,
LCL-0012,03_案例库与证据/本地原件/案例库/宏观危机篇/01_1929大萧条/案例档案.md,.md,,7428,NOT_APPLICABLE,,PASS,
LCL-0013,03_案例库与证据/本地原件/案例库/宏观危机篇/02_1933罗斯福黄金新政/案例档案.md,.md,,7952,NOT_APPLICABLE,,PASS,
LCL-0014,03_案例库与证据/本地原件/案例库/宏观危机篇/03_1971布雷顿森林解体/案例档案.md,.md,,7637,NOT_APPLICABLE,,PASS,
LCL-0015,03_案例库与证据/本地原件/案例库/宏观危机篇/04_1973-1980滞胀大牛市/案例档案.md,.md,,7896,NOT_APPLICABLE,,PASS,
LCL-0016,03_案例库与证据/本地原件/案例库/宏观危机篇/06_1987黑色星期一/案例档案.md,.md,,8557,NOT_APPLICABLE,,PASS,
LCL-0017,03_案例库与证据/本地原件/案例库/宏观危机篇/07_1997亚洲金融危机/案例档案.md,.md,,8544,NOT_APPLICABLE,,PASS,
LCL-0018,03_案例库与证据/本地原件/案例库/宏观危机篇/08_2000互联网泡沫/案例档案.md,.md,,7902,NOT_APPLICABLE,,PASS,
LCL-0019,03_案例库与证据/本地原件/案例库/宏观危机篇/09_2008全球金融危机/案例档案.md,.md,,7301,NOT_APPLICABLE,,PASS,
LCL-0020,03_案例库与证据/本地原件/案例库/宏观危机篇/10_1990日本资产泡沫破裂/案例档案.md,.md,,10433,NOT_APPLICABLE,,PASS,
LCL-0021,03_案例库与证据/本地原件/案例库/宏观危机篇/11_1994墨西哥龙舌兰危机/案例档案.md,.md,,10734,NOT_APPLICABLE,,PASS,
LCL-0022,03_案例库与证据/本地原件/案例库/宏观危机篇/11_2013黄金暴跌（反面案例）/案例档案.md,.md,,8478,NOT_APPLICABLE,,PASS,
LCL-0023,03_案例库与证据/本地原件/案例库/宏观危机篇/12_1998俄罗斯金融危机/案例档案.md,.md,,11093,NOT_APPLICABLE,,PASS,
LCL-0024,03_案例库与证据/本地原件/案例库/宏观危机篇/13_2001阿根廷债务危机/案例档案.md,.md,,9797,NOT_APPLICABLE,,PASS,
LCL-0025,03_案例库与证据/本地原件/案例库/宏观危机篇/14_2010欧洲主权债务危机/案例档案.md,.md,,9379,NOT_APPLICABLE,,PASS,
LCL-0026,03_案例库与证据/本地原件/案例库/宏观危机篇/15_2020疫情全球市场崩盘/案例档案.md,.md,,11285,NOT_APPLICABLE,,PASS,
LCL-0027,03_案例库与证据/本地原件/案例库/宏观危机篇/16_2022美联储激进加息周期/案例档案.md,.md,,11786,NOT_APPLICABLE,,PASS,
LCL-0028,03_案例库与证据/本地原件/案例库/宏观危机篇/17_1980-2000黄金熊市_反面案例/案例档案.md,.md,,9003,NOT_APPLICABLE,,PASS,
LCL-0029,03_案例库与证据/本地原件/案例库/货币崩溃篇/01_1923魏玛德国恶性通胀/案例档案.md,.md,,7006,NOT_APPLICABLE,,PASS,
LCL-0030,03_案例库与证据/本地原件/案例库/货币崩溃篇/02_2008津巴布韦恶性通胀/案例档案.md,.md,,8972,NOT_APPLICABLE,,PASS,
LCL-0031,03_案例库与证据/本地原件/案例库/货币崩溃篇/03_2015-2021委内瑞拉玻利瓦尔/案例档案.md,.md,,9136,NOT_APPLICABLE,,PASS,
LCL-0032,03_案例库与证据/本地原件/案例库/货币崩溃篇/04_2018土耳其里拉危机/案例档案.md,.md,,11871,NOT_APPLICABLE,,PASS,
LCL-0033,03_案例库与证据/本地原件/案例库/货币崩溃篇/05_2019-2023黎巴嫩镑崩溃/案例档案.md,.md,,8116,NOT_APPLICABLE,,PASS,
LCL-0034,03_案例库与证据/本地原件/案例库/货币崩溃篇/06_2022-2024尼日利亚奈拉崩溃/案例档案.md,.md,,11287,NOT_APPLICABLE,,PASS,
LCL-0035,03_案例库与证据/本地原件/案例库/货币崩溃篇/07_2022-2024埃及镑贬值/案例档案.md,.md,,10894,NOT_APPLICABLE,,PASS,
