BI,Model,MAE,MSE,RMSE,MAPE,R2
Without BIdata,LSTM,23.487,1077.188,32.821,1.218,0.987
CNN-LSTM,28.941,1715.414,41.417,1.468,0.981,
CNN-QRLSTM,27.436,2521.761,50.217,1.400,0.972,
EEMD-CNN-LSTM,31.049,2547.504,50.473,1.582,0.968,
EEMD-CNN-QRLSTM,16.002,515.246,22.699,0.871,0.993,
With BI,LSTM,13.652,467.667,21.626,0.709,0.995
CNN-LSTM,19.791,812.582,28.506,1.300,0.990,
CNN-QRLSTM,15.820,538.650,23.209,0.807,0.993,
EEMD-CNN-LSTM,16.362,470.668,21.695,0.848,0.994,
EEMD-CNN-QRLSTM,10.117,167.209,12.931,0.535,0.998,
XGBoost,312.880,"102,845.783",320.695,17.683,−10.874,
ARIMA-GRACH,218.654,"58,243.876",241.338,12.875,−5.630,
