2019,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
November 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
October 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
September 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
August 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
July 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
June 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
May 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
April 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
March 27,,,HTML | PDF | ASCII,Data and Documentation
March 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
February 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
January 18,HTML | PDF | ASCII,HTML | PDF | ASCII,,Data and Documentation
