2004,column_2,column_3,column_4,column_5
,Monthly Release,Monthly Supplement,Annual Revision,Text Data File Downloads
December 22,,,HTML | PDF | ASCII,
December 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
November 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
October 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
September 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
August 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
July 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
June 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
May 14,HTML | PDF | ASCII,HTML | PDF | ASCII,,
April 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
March 15,HTML | PDF | ASCII,HTML | PDF | ASCII,,
February 17,HTML | PDF | ASCII,HTML | PDF | ASCII,,
January 16,HTML | PDF | ASCII,HTML | PDF | ASCII,,
