COUNTRY,CURRENCY,Aug._3,Aug._4,Aug._5,Aug._6,Aug._7
*AUSTRALIA,DOLLAR,0.7001,0.7038,0.7051,0.7028,0.7064
BRAZIL,REAL,5.0769,5.1101,5.1173,5.1064,5.0882
CANADA,DOLLAR,1.4039,1.4071,1.4018,1.4029,1.3933
"CHINA, P.R.",YUAN,6.7563,6.7532,6.7483,6.7488,6.7474
DENMARK,KRONE,6.4951,6.4852,6.4742,6.4881,6.4675
*EMU MEMBERS,EURO,1.1509,1.1527,1.1547,1.1521,1.1559
HONG KONG,DOLLAR,7.8417,7.8428,7.8437,7.8449,7.8455
INDIA,RUPEE,95.3400,95.3800,95.1400,95.2100,95.2100
JAPAN,YEN,156.9600,157.4400,157.6300,158.4500,157.5400
MALAYSIA,RINGGIT,4.0926,4.0948,4.0907,4.0870,4.0889
MEXICO,PESO,17.3102,17.2612,17.2303,17.2255,17.1357
*NEW ZEALAND,DOLLAR,0.5868,0.5889,0.5880,0.5867,0.5892
NORWAY,KRONE,9.5362,9.5505,9.5271,9.5525,9.4895
SINGAPORE,DOLLAR,1.2826,1.2817,1.2813,1.2837,1.2781
SOUTH AFRICA,RAND,16.5225,16.3738,16.3258,16.3658,16.1742
SOUTH KOREA,WON,1430.4900,1427.4800,1424.0000,1423.6100,1409.9400
SRI LANKA,RUPEE,335.5600,335.5000,335.4400,335.4000,335.3500
SWEDEN,KRONA,9.5527,9.5303,9.4969,9.5155,9.4751
SWITZERLAND,FRANC,0.8104,0.8092,0.8075,0.8129,0.8078
TAIWAN,DOLLAR,32.4400,32.4000,32.2900,32.2400,32.2500
THAILAND,BAHT,33.4200,33.2500,33.1100,33.1200,32.9700
*UNITED KINGDOM,POUND,1.3434,1.3456,1.3462,1.3456,1.3498
VENEZUELA,BOLIVAR,744.7631,750.2141,745.6964,745.6964,754.8165
Memo:,,,,,,
UNITED STATES,DOLLAR,,,,,
1) BROAD,JAN06=100,119.6951,119.5977,119.3881,119.5113,119.0649
2) AFE,JAN06=100,112.8653,112.8425,112.6323,112.8896,112.3595
3) EME,JAN06=100,128.3599,128.1793,127.9683,127.9452,127.5866
