column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26,column_27,column_28
,,"December 31, 2005",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Proven Reserves,,Probable Reserves,,Proven and Probable Reserves,,,,,,,,,,,,,,,,,,
Deposits/Districts,,Newmont Share,,,Tonnage(2) (000 tons),,Grade (Cu %),,,Millions ofPounds(3),,Tonnage(2) (000 tons),,Grade (Cu %),,,Millions ofPounds(3),,Tonnage(2) (000 tons),,Grade (Cu %),,,Millions of Pounds(3),,MetallurgicalRecovery(3),
"Phoenix, Nevada(4)",,100,%,,—,,—,,,—,,"309,900",,0.15,%,,900,,"309,900",,0.15,%,,900,,67,%
"Conga, Peru(5)",,51.35,%,,—,,—,,,—,,"317,200",,0.26,%,,"1,660",,"317,200",,0.26,%,,"1,660",,85,%
Batu Hijau(6),,52.875,%,,"147,600",,0.47,%,,"1,390",,"446,500",,0.44,%,,"3,920",,"594,100",,0.45,%,,"5,310",,83,%
"Batu Hijau, Stockpiles(6)(7)",,52.875,%,,—,,—,,,—,,"103,900",,0.36,%,,750,,"103,900",,0.36,%,,750,,70,%
"Total Batu Hijau, Indonesia(6)",,52.875,%,,"147,600",,0.47,%,,"1,390",,"550,400",,0.42,%,,"4,670",,"698,000",,0.43,%,,"6,060",,81,%
"Boddington, WesternAustralia(8)",,44.44,%,,"60,600",,0.12,%,,140,,"136,600",,0.12,%,,340,,"197,200",,0.12,%,,480,,83,%
Total Copper,,,,,"208,200",,0.37,%,,"1,530",,"1,314,100",,0.29,%,,"7,570",,"1,522,300",,0.30,%,,"9,100",,81,%
,,"December 31, 2004",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Proven Reserves,,Probable Reserves,,Proven and Probable Reserves,,,,,,,,,,,,,,,,,,
Deposits/Districts,,Newmont Share,,,Tonnage(2) (000 tons),,Grade (Cu %),,,Millions of Pounds(3),,Tonnage(2) (000 tons),,Grade (Cu %),,,Millions of Pounds(3),,Tonnage(2) (000 tons),,Grade (Cu %),,,Millions of Pounds(3),,Metallurgical Recovery(3),
"Phoenix, Nevada",,100,%,,—,,—,,,—,,"216,700",,0.15,%,,660,,"216,700",,0.15,%,,660,,67,%
"Conga, Peru",,51.35,%,,—,,—,,,—,,"190,600",,0.30,%,,"1,140",,"190,600",,0.30,%,,"1,140",,90,%
Batu Hijau,,52.875,%,,"148,700",,0.50,%,,"1,480",,"440,200",,0.47,%,,"4,120",,"588,900",,0.48,%,,"5,600",,86,%
"Batu Hijau, Stockpiles",,52.875,%,,—,,—,,,—,,"86,500",,0.38,%,,660,,"86,500",,0.38,%,,660,,80,%
"Total Batu Hijau, Indonesia(7)",,52.875,%,,"148,700",,0.50,%,,"1,480",,"526,700",,0.45,%,,"4,780",,"675,400",,0.46,%,,"6,260",,85,%
"Boddington, WesternAustralia(9)",,44.44,%,,"61,000",,0.12,%,,140,,"129,700",,0.13,%,,330,,"190,700",,0.12,%,,470,,84,%
"Golden Grove, Western Australia(10)",,100,%,,"3,100",,2.91,%,,180,,"5,600",,1.60,%,,180,,"8,700",,2.07,%,,360,,88,%
Total Copper,,,,,"212,800",,0.42,%,,"1,800",,"1,069,300",,0.33,%,,"7,090",,"1,282,100",,0.35,%,,"8,890",,84,%
