column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9
,,"As at December 31,",,,,,,
,,2005,,,2004,,,
Assumptions:,,,,,,,,
Initial year additions to reserves (gold ounces in millions):,,,,,,,,
Total additions,,,9.5,,,,11.0,
Less: Additions previously valued in purchase accounting,,,(0.9,),,,(1.0,)
Additions attributable to the Exploration Segment,,,8.6,,,,10.0,
Annual reserve addition growth rate,,,5,%,,,5,%
Time horizon (years),,,16,,,,16,
Time lag between reserve additions and production (years),,,7.1,,,,7.2,
Production period (years),,,5,,,,5,
Discount rate,,,8,%,,,8,%
Price/cost assumptions (per ounce of gold):,,,,,,,,
Gold price,,$,450,,,$,375,
Operating costs,,$,264,,,$,230,
Capital costs,,$,56,,,$,50,
Finding costs,,$,13,,,$,13,
Terminal value,,$,"7,514",,,$,"5,812",
