column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10
(millions of equity ounces),,Actual,,,Assumption(1),,,Excess(shortfall),
2005,,,,,,,,,
Total additions,,9.4,,,11.0,,,(1.6,)
Additions previously valued in purchase accounting,,(1.2,),,(1.0,),,(0.2,)
Additions attributable to the Exploration Segment,,8.2,,,10.0,,,(1.8,)
2004,,,,,,,,,
Total additions,,12.4,,,7.9,,,4.5,
Additions previously valued in purchase accounting,,(1.9,),,(5.0,),,3.1,
Reclassification of Cerro Quilish reserves,,(2.0,),,—,,,(2.0,)
Additions attributable to the Exploration Segment,,8.5,,,2.9,,,5.6,
