column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11
,,"Years Ended December 31,",,,,,,,,
,,2005,,,2004,,2003,,,
Gold,,,,,,,,,,
"Nevada, USA",,$,"1,053",,,$,"1,037",,$,901
"Yanacocha, Peru",,,"1,490",,,,"1,250",,,"1,037"
Australia/New Zealand:,,,,,,,,,,
"Tanami, Australia",,,221,,,,273,,,220
"Kalgoorlie, Australia",,,183,,,,192,,,147
"Jundee, Australia",,,154,,,,156,,,204
"Pajingo, Australia",,,87,,,,104,,,120
"Martha, New Zealand",,,73,,,,54,,,41
,,,718,,,,779,,,732
"Batu Hijau, Indonesia",,,318,,,,288,,,—
Other Operations:,,,,,,,,,,
"Golden Giant, Canada",,,73,,,,66,,,84
"Zarafshan, Uzbekistan",,,55,,,,85,,,79
"Kori Kollo, Bolivia",,,44,,,,10,,,64
"La Herradura, Mexico",,,36,,,,27,,,25
"Ovacik, Turkey",,,—,,,,44,,,61
"Minahasa, Indonesia",,,—,,,,32,,,35
"Mesquite, USA",,,—,,,,—,,,17
,,,208,,,,264,,,365
Corporate,,,(53,),,,7,,,24
,,$,"3,734",,,$,"3,625",,$,"3,059"
Copper,,,,,,,,,,
"Batu Hijau, Indonesia",,$,672,,,$,786,,$,—
