column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13
,,Tanami(6),,Kalgoorlie(7),,,,,,,,
,,2005,,2004,,2003,,2005,,2004,,2003
Life-of-mine Assumptions Used as Basis For Deferred Stripping Calculations,,,,,,,,,,,,
—Stripping ratio(1),,N/A,,82.3,,48.8,,100.1,,110.9,,114.8
—Average ore grade(2),,N/A,,0.160,,0.160,,0.061,,0.061,,0.065
Actuals for Year,,,,,,,,,,,,
—Stripping ratio(1),,N/A,,52.3,,63.5,,116.3,,102.9,,112.2
—Average ore grade(2),,N/A,,0.130,,0.108,,0.062,,0.063,,0.063
Remaining Mine Life (years)(3),,N/A,,1,,1,,12,,13,,13
,,Martha(8),,Ovacik(9),,,,,,,,
,,2005,,2004,,2003,,2005,,2004,,2003
Life-of-mine Assumptions Used as Basis For Deferred Stripping Calculations,,,,,,,,,,,,
—Stripping ratio(1),,18.8,,26.1,,32.1,,N/A,,41.6,,34.9
—Average ore grade(2),,0.114,,0.107,,0.103,,N/A,,0.385,,0.356
Actuals for Year,,,,,,,,,,,,
—Stripping ratio(1),,12.9,,31.7,,29.5,,N/A,,57.0,,40.4
—Average ore grade(2),,0.143,,0.091,,0.089,,N/A,,0.298,,0.374
Remaining Mine Life (years)(3),,1,,3,,3,,N/A,,2,,2
