column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25
,,Gold Ounces Sold,,Costs Applicable to Sales(1),,"Depreciation, Depletionand Amortization",,,,,,,,,,,,,,,,,,
,,2005,,2004,,2003,,2005,,2004,,2003,,2005,,2004,,2003,,,,,,
,,(in thousands),,($ per ounce),,($ per ounce),,,,,,,,,,,,,,,,,,
Golden Giant,,162.0,,160.0,,229.7,,$,296,,$,298,,$,231,,$,67,,$,71,,$,96
Zarafshan(2) (50% owned),,122.7,,210.1,,218.1,,,218,,,154,,,151,,,76,,,49,,,46
Kori Kollo(3) (88% owned),,94.5,,24.6,,180.1,,,167,,,398,,,197,,,40,,,93,,,38
La Herradura (44% owned),,80.2,,68.8,,67.8,,,184,,,147,,,164,,,63,,,73,,,50
Ovacik(4),,—,,110.0,,168.2,,,—,,,208,,,133,,,—,,,143,,,82
"Minahasa(3) (94% economic interest, 80% owned)",,—,,74.7,,98.1,,,—,,,266,,,268,,,—,,,32,,,78
Mesquite(4),,—,,—,,49.2,,,—,,,—,,,196,,,—,,,—,,,79
Total/Weighted-Average,,459.4,,648.2,,"1,011.2",,$,229,,$,220,,$,189,,$,63,,$,73,,$,67
