column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12
,,"Years Ended December 31,",,,,,,,,,
,,2005,,2004,,,2003,,,,
Royalty and dividend income,,$,79,,$,64,,,$,56,
Gain (loss) on investments,,,54,,,(39,),,,83,
Gain on sale of the Mezcala gold deposit,,,31,,,—,,,,—,
"Gain on extinguishment of NYOL liabilities, net",,,—,,,—,,,,221,
Gain (loss) on QMC debt Guarantee,,,9,,,11,,,,(30,)
Loss on extinguishment of debt,,,—,,,—,,,,(34,)
Other,,,1,,,5,,,,—,
,,$,174,,$,41,,,$,296,
