column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18
,,Expected Maturity Date,,Fair Value,,,,,,,,,,,,,
,,2006,,2007,,Total/Average,,"At December 31, 2005",,,"At December 31, 2004",,,,,,
Gold Put Option Contracts:,,,,,,,,,,,,,,,,,
Ounces (thousands),,,100,,,20,,,120,,$,(3,),,$,(9,)
Average price,,$,338,,$,397,,$,348,,,,,,,,
Silver Forward Contracts:,,,,,,,,,,,,,,,,,
Ounces (thousands),,,50,,,—,,,50,,$,––,,,$,(1,)
Average price,,$,6.50,,,—,,$,6.50,,,,,,,,
Copper Collar Contracts(3):,,,,,,,,,,,,,,,,,
Pounds (millions),,,406,,,84,,,490,,$,(261,)(1),,$,(61,)(2)
Average cap price,,$,1.35,,$,1.40,,$,1.36,,,,,,,,
Average floor price,,$,1.10,,$,1.10,,$,1.10,,,,,,,,
$/IDR Forward Purchase Contracts:,,,,,,,,,,,,,,,,,
$ (millions),,,71,,,—,,,71,,$,––,,,$,––,
Average rate (IDR/$),,,"10,405",,,—,,,"10,405",,,,,,,,
Australian Dollar Collar Contracts:,,,,,,,,,,,,,,,,,
$ (millions),,$,135,,,—,,$,135,,$,––,,,$,13,
Average cap price ($ per A$1),,$,0.80,,,—,,$,0.80,,,,,,,,
Average floor price ($ per A$1),,$,0.55,,,—,,$,0.55,,,,,,,,
