column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15
,,,,"At December 31, 2005",,"At December 31, 2004",,,,,,,,
Mineral Interests,,Amortization Period,,Gross Carrying Value,,Accumulated Amortization,,Net BookValue,,Gross CarryingValue,,Accumulated Amortization,,Net BookValue
,,(in years),,,,,,,,,,,,
Working interests:,,,,,,,,,,,,,,
Production stage,,1–25,,$744,,$(455),,$289,,$740,,$(410),,$330
Development stage,,—,,252,,—,,252,,235,,—,,235
Exploration stage,,—,,144,,(11),,133,,275,,(14),,261
,,,,"1,140",,(466),,674,,"1,250",,(424),,826
Royalties:,,,,,,,,,,,,,,
Production stage,,1–25,,227,,(64),,163,,227,,(50),,177
Development stage,,—,,9,,—,,9,,9,,—,,9
Exploration stage,,—,,5,,(1),,4,,5,,(1),,4
,,,,241,,(65),,176,,241,,(51),,190
Oil and gas:,,,,,,,,,,,,,,
Producing property,,10,,76,,(29),,47,,74,,(21),,53
Exploration stage,,—,,17,,—,,17,,16,,—,,16
,,,,93,,(29),,64,,90,,(21),,69
,,,,"$1,474",,$(560),,$914,,"$1,581",,$(496),,"$1,085"
