column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17
,,Pension Benefits,,,Other Benefits,,,,,,,,,,,
,,2005,,,2004,,,2005,,,2004,,,,,
Change in Benefit Obligation:,,,,,,,,,,,,,,,,
Benefit obligation at beginning of year,,$,337,,,$,289,,,$,82,,,$,69,
Service cost-benefits earned during the year,,,13,,,,11,,,,5,,,,3,
Interest cost,,,19,,,,18,,,,5,,,,4,
Amendments,,,5,,,,1,,,,—,,,,—,
Actuarial loss (gain),,,43,,,,30,,,,(3,),,,8,
Foreign currency exchange loss,,,—,,,,—,,,,—,,,,—,
Settlement payments,,,4,,,,—,,,,—,,,,—,
Benefits paid,,,(19,),,,(12,),,,(3,),,,(2,)
Benefit obligation at end of year,,$,402,,,$,337,,,$,86,,,$,82,
Accumulated Benefit Obligation,,$,354,,,$,296,,,,N/A,,,,N/A,
Change in Fair Value of Assets:,,,,,,,,,,,,,,,,
Fair value of assets at beginning of year,,$,217,,,$,172,,,$,—,,,$,—,
Actual return on plan assets,,,17,,,,19,,,,—,,,,—,
Employer contributions,,,12,,,,38,,,,3,,,,2,
Foreign currency exchange gain,,,—,,,,—,,,,—,,,,—,
Settlement payments,,,—,,,,—,,,,—,,,,—,
Benefits paid,,,(19,),,,(12,),,,(3,),,,(2,)
Fair value of assets at end of year,,$,227,,,$,217,,,$,—,,,$,—,
Under funded status,,$,(175,),,$,(120,),,$,(86,),,$,(82,)
Unrecognized prior service cost,,,12,,,,8,,,,(7,),,,(8,)
Unrecognized net loss (gain),,,139,,,,104,,,,(1,),,,2,
Unrecognized net asset,,,—,,,,—,,,,—,,,,—,
Accrued cost,,$,(24,),,$,(8,),,$,(94,),,$,(88,)
