column_1,column_2,column_3,column_4,column_5,column_6,column_7
,,"At December 31,",,,,
,,,2005,,,2004
Other current liabilities:,,,,,,
Accrued capital expenditures,,$,80,,$,58
Income and mining taxes,,,77,,,57
Reclamation and remediation costs,,,63,,,53
Accrued operating costs,,,82,,,60
Royalties,,,26,,,41
Interest,,,42,,,37
Taxes other than income and mining,,,18,,,15
Deferred revenue,,,17,,,11
Advanced stripping costs,,,14,,,2
Deferred income tax liabilities,,,5,,,10
Other,,,52,,,31
,,$,476,,$,375
Other long-term liabilities:,,,,,,
Income taxes,,$,220,,$,306
Deferred stripping,,,93,,,103
Deferred revenue from the sale of future product,,,47,,,47
Derivative instruments,,,30,,,7
Other,,,24,,,24
,,$,414,,$,487
