column_1,column_2,column_3,column_4,column_5
,,"Years Ended December 31,",,
,,2005,,2004
Deferred income tax assets:,,,,
Exploration costs,,$55,,$49
Depreciation,,69,,—
Net operating losses and tax credits,,720,,621
Retiree benefit and vacation accrual costs,,101,,89
Remediation and reclamation costs,,101,,111
Derivative instruments,,26,,—
Unrealized losses on investments,,—,,54
Other,,116,,71
,,"1,188",,995
Valuation allowances,,(523),,(376)
,,665,,619
Deferred income tax liabilities:,,,,
Net undistributed earnings of subsidiaries,,(49),,(91)
Unrealized gain on investments,,(77),,—
Depletable and amortizable costs associated with mineral rights,,(310),,(160)
Depreciation,,—,,(4)
Derivative instruments,,—,,(13)
Capitalized mining costs,,—,,(125)
Foreign currency exchange,,(23),,(41)
Capitalized interest,,—,,(6)
,,(459),,(440)
Net deferred income tax assets,,$206,,$179
