column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23
,,Nevada,,,Yanacocha,,Australia/NewZealand,,BatuHijau,,,OtherOperations,,,TotalOperations,,,,,,,
"Sales, net:",,,,,,,,,,,,,,,,,,,,,,
Gold,,$,"1,037",,,$,"1,250",,$,779,,$,288,,,$,264,,,$,"3,618",
Copper,,$,—,,,$,—,,$,—,,$,786,,,$,—,,,$,786,
Cost applicable to sales:,,,,,,,,,,,,,,,,,,,,,,
Gold,,$,716,,,$,432,,$,528,,$,91,,,$,143,,,$,"1,910",
Copper,,$,—,,,$,—,,$,—,,$,305,,,$,—,,,$,305,
"Depreciation, depletion and amortization:",,,,,,,,,,,,,,,,,,,,,,
Gold,,$,127,,,$,198,,$,126,,$,28,,,$,47,,,$,526,
Copper,,$,—,,,$,—,,$,—,,$,90,,,$,—,,,$,90,
Other,,$,—,,,$,—,,$,4,,$,—,,,$,4,,,$,8,
Exploration,,$,14,,,$,4,,$,15,,$,—,,,$,1,,,$,34,
"Advanced projects, research and development",,$,6,,,$,16,,$,—,,$,—,,,$,29,,,$,51,
Write-down of goodwill,,$,—,,,$,—,,$,52,,$,—,,,$,—,,,$,52,
Write-down of long-lived assets,,$,—,,,$,4,,$,14,,$,—,,,$,18,,,$,36,
Other income,,$,7,,,$,4,,$,18,,$,3,,,$,—,,,$,32,
"Interest expense, net",,$,—,,,$,1,,$,—,,$,43,,,$,1,,,$,45,
Pre-tax income (loss) before minority interest and equity income of affiliates,,$,185,,,$,597,,$,49,,$,524,,,$,(2,),,$,"1,353",
Equity income of affiliates,,$,—,,,$,—,,$,—,,$,—,,,$,—,,,$,—,
"Cumulative effect of a change in accounting principle, net of tax",,$,—,,,$,—,,$,—,,$,(84,),,$,—,,,$,(84,)
"Amortization of deferred (advanced) stripping, net",,$,(39,),,$,—,,$,8,,$,38,,,$,(3,),,$,4,
Capital expenditures,,$,169,,,$,232,,$,89,,$,35,,,$,120,,,$,645,
Deferred stripping,,$,101,,,$,—,,$,12,,$,(105,),,$,11,,,$,19,
Goodwill,,$,41,,,$,—,,$,191,,$,—,,,$,—,,,$,232,
Total assets from continuing operations,,$,"1,614",,,$,"1,201",,$,"1,066",,$,"2,134",,,$,700,,,$,"6,715",
