column_1,column_2,column_3,column_4
,,"At December 31, 2003",
,,(in thousands U.S.$),
Long term:,,,
Technology and Know-How Agreement Royalties—NTL,,$,—
Technology and Know-How Agreement Royalties—Sumitomo,,,—
,,,—
Short term:,,,
Technology and Know-How Agreement Royalties—NTL,,,"64,436"
Technology and Know-How Agreement Royalties—Sumitomo,,,"50,117"
Consulting Services Agreement—NISL,,,329
Payroll Agency Agreements—NIIL and NGELP,,,640
Consulting Services Agreement—NPN,,,—
,,,"115,522"
Total,,$,"115,522"
