column_1,column_2,column_3
Exhibit Number,,Description
10(ff),,"—Amendment to Consulting Agreement dated October 31, 2005, and effective as of April 26, 2006, between Newmont Capital Limited and Seymour Schulich. Incorporated by reference
as Exhibit 10.5 to Registrant’s Form 8-K filed with the Securities and Exchange Commission on October 31, 2005."
10(gg),,"—Employment Agreement dated September 9, 2005 between Newmont USA Limited and David H. Francisco. Incorporated by reference as Exhibit 10.1 to Registrant’s Form 8-K filed with the
Securities and Exchange Commission on September 9, 2005."
10(hh),,"—Credit Agreement dated as of July 30, 2004, as amended and restated as of July 28, 2005, among Newmont Mining Corporation, Newmont USA Limited, JP Morgan Chase Bank, N.A.,
Australia and New Zealand Banking Group Limited, Banco Bilbao Vizcaya SA, Bank of Montreal Chicago Branch, The Bank of Nw York, The Bank of Nova Scotia, The Bank of Tokyo-Mitsubishi, Ltd., BNP Paribas, Calyon New York Branch, CIBC Inc., Citicorp USA
Inc., Commonwealth Bank of Australia New York Branch, Deutsche Bank AG New York Branch, HSBC Bank USA, National Association, Mizuho Corporate Bank, Ltd., Royal Bank of Canada, The Royal Bank of Scotland, plc, Societe Generale, Sumitomo Mitsui
Banking Corporation, UBS Loan Finance LLC, US Bank N.A., Wells Fargo Bank, N.A. and Westbag New York Branch. Incorporated by reference as Exhibit 10.11 to Registrant’s Quarterly Report on Form 10-Q for the period June 30, 2005, filed with the
Securities and Exchange Commission on August 1, 2005."
10(ii),,"—Canadian Oil Sands Trust (“COST”) Agreement as of May 10, 2004 between Pierre Lassonde and Newmont Mining Corporation. Incorporated by reference as Exhibit 10(w) to
Registrant’s Annual Report on Form 10-K for the period December 31, 2004, filed with the Securities and Exchange Commission on March 15, 2005."
10(jj),,"—Canadian Oil Sands Trust (“COST”) Agreement as of May 10, 2004 between Seymour Schulich and Newmont Mining Corporation. Incorporated by reference as Exhibit 10(x) to
Registrant’s Annual Report on Form 10-K for the period December 31, 2004, filed with the Securities and Exchange Commission on March 15, 2005."
10(kk),,"—Summary of Non-Employee Director Compensation and Benefits. Incorporated by reference as Exhibit 10.2 to Registrant’s for 8-K filed with the Securities and Exchange Commission on
March 1, 2006."
10(ll),,"—Summary of Executive Compensation, filed herewith."
10(mm),,"—Sale Agreement dated June 23, 2005 by and among Newmont Golden Grove Operations Pty Ltd, Newmont Wownaminya Pty Ltd, Newmont Australia Limited, Oxiana Golden Grove Pty Ltd and Oxiana
Limited. Incorporated by reference to Exhibit 10.1 to Newmont Mining Corporation’s current report on Form 8-K filed with the Securities and Exchange Commission on June 29, 2005."
12.1,,"—Statement re Computation of Ratio of Earnings to Fixed Charges and Preferred Dividends, filed herewith."
12.2,,"—Statement re Computation of Ratio of Earnings to Fixed Charges, filed herewith."
21,,"—Subsidiaries of Newmont Mining Corporation, filed herewith."
23.1,,"—Consent of PricewaterhouseCoopers LLP, filed herewith."
24,,"—Power of Attorney, filed herewith."
31.1,,"—Certification Pursuant to Rule 13A-14 or 15D-14 of the Securities Exchange Act of 1934, as adopted pursuant to Section 302 of the Sarbanes-Oxley Act of 2002 signed by the Principal
Executive Officer, filed herewith."
