column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24
,,"December 31, 2005",,,,,,,,,,,,,,,,,,,,,
,,,,Proven Reserves,,Probable Reserves,,Proven and Probable Reserves,,,,,,,,,,,,,,,
Deposits/Districts,,Newmont Share,,Tonnage(2) (000 tons),,Grade (oz/ton),,Ounces(3) (000),,Tonnage(2) (000 tons),,Grade (oz/ton),,Ounces(3) (000),,Tonnage(2) (000 tons),,Grade (oz/ton),,Ounces(3) (000),,MetallurgicalRecovery(3),
Nevada(4),,,,,,,,,,,,,,,,,,,,,,,
Carlin Open Pit(5),,100%,,"21,000",,0.072,,"1,520",,"217,300",,0.041,,"8,810",,"238,300",,0.043,,"10,330",,72,%
Twin Creeks,,100%,,"14,800",,0.081,,"1,200",,"46,400",,0.072,,"3,320",,"61,200",,0.074,,"4,520",,82,%
Lone Tree Complex(6),,100%,,800,,0.096,,70,,"3,200",,0.076,,250,,"4,000",,0.080,,320,,80,%
Phoenix(7),,100%,,—,,—,,—,,"308,400",,0.029,,"8,950",,"308,400",,0.029,,"8,950",,81,%
Carlin Underground(8),,100%,,"1,700",,0.53,,900,,"6,000",,0.47,,"2,850",,"7,700",,0.49,,"3,750",,94,%
Midas(9),,100%,,600,,0.67,,430,,900,,0.52,,470,,"1,500",,0.58,,900,,95,%
Turquoise Ridge(10),,25%,,"1,100",,0.56,,620,,800,,0.57,,480,,"1,900",,0.56,,"1,100",,90,%
Nevada Stockpiles(11),,100%,,"22,600",,0.089,,"2,010",,"4,800",,0.053,,250,,"27,400",,0.083,,"2,260",,80,%
Nevada In-Process(12),,100%,,"46,800",,0.021,,"1,000",,"2,100",,0.067,,140,,"48,900",,0.023,,"1,140",,65,%
,,,,"109,400",,0.071,,"7,750",,"589,900",,0.043,,"25,520",,"699,300",,0.048,,"33,270",,80,%
"Yanacocha, Peru",,,,,,,,,,,,,,,,,,,,,,,
Yanacocha Open Pits(13),,51.35%,,"30,900",,0.024,,740,,"263,600",,0.034,,"8,960",,"294,500",,0.033,,"9,700",,69,%
Yanacocha In-Process(12)(13),,51.35%,,"34,700",,0.028,,970,,—,,—,,—,,"34,700",,0.028,,970,,70,%
Conga(14),,51.35%,,—,,—,,—,,"317,200",,0.019,,"6,080",,"317,200",,0.019,,"6,080",,79,%
,,,,"65,600",,0.026,,"1,710",,"580,800",,0.026,,"15,040",,"646,400",,0.026,,"16,750",,73,%
Australia/New Zealand,,,,,,,,,,,,,,,,,,,,,,,
"Boddington, Western Australia(15)",,44.44%,,"60,600",,0.029,,"1,780",,"136,800",,0.025,,"3,380",,"197,400",,0.026,,"5,160",,82,%
Kalgoorlie Open Pits and Underground,,50%,,"32,900",,0.060,,"1,980",,"39,400",,0.063,,"2,500",,"72,300",,0.062,,"4,480",,88,%
Kalgoorlie Stockpiles(11),,50%,,"12,600",,0.033,,420,,—,,—,,—,,"12,600",,0.033,,420,,88,%
"Total Kalgoorlie, Western Australia(16)",,50%,,"45,500",,0.053,,"2,400",,"39,400",,0.063,,"2,500",,"84,900",,0.058,,"4,900",,88,%
"Pajingo, Queensland(17)",,100%,,400,,0.41,,150,,"1,200",,0.25,,300,,"1,600",,0.29,,450,,97,%
Tanami Underground and Open Pits,,100%,,"5,400",,0.17,,890,,"8,100",,0.16,,"1,330",,"13,500",,0.16,,"2,220",,95,%
Tanami Stockpiles(11),,100%,,400,,0.074,,30,,"2,200",,0.037,,80,,"2,600",,0.043,,110,,95,%
"Total Tanami, Northern Territory(18)",,100%,,"5,800",,0.16,,920,,"10,300",,0.14,,"1,410",,"16,100",,0.15,,"2,330",,95,%
"Jundee, Western Australia(19)",,100%,,"2,900",,0.060,,170,,"3,700",,0.36,,"1,360",,"6,600",,0.23,,"1,530",,93,%
"Martha, New Zealand(20)",,100%,,—,,—,,—,,"3,500",,0.16,,570,,"3,500",,0.16,,570,,91,%
,,,,"115,200",,0.047,,"5,420",,"194,900",,0.049,,"9,520",,"310,100",,0.048,,"14,940",,88,%
"Batu Hijau, Indonesia",,,,,,,,,,,,,,,,,,,,,,,
Batu Hijau Open Pit(21),,52.875%,,"147,600",,0.012,,"1,770",,"446,500",,0.010,,"4,540",,"594,100",,0.011,,"6,310",,80,%
Batu Hijau Stockpiles(11)(21),,52.875%,,—,,—,,—,,"103,900",,0.003,,340,,"103,900",,0.003,,340,,69,%
,,,,"147,600",,0.012,,"1,770",,"550,400",,0.009,,"4,880",,"698,000",,0.010,,"6,650",,80,%
Ghana,,,,,,,,,,,,,,,,,,,,,,,
Akyem(22),,85%,,—,,—,,—,,"125,100",,0.052,,"6,510",,"125,100",,0.052,,"6,510",,89,%
Ahafo(23),,100%,,—,,—,,—,,"156,900",,0.078,,"12,190",,"156,900",,0.078,,"12,190",,88,%
,,,,—,,—,,—,,"282,000",,0.066,,"18,700",,"282,000",,0.066,,"18,700",,88,%
Other Operations,,,,,,,,,,,,,,,,,,,,,,,
"Holloway, Ontario(24)",,100%,,50,,0.17,,10,,100,,0.20,,20,,150,,0.19,,30,,90,%
"La Herradura, Mexico(25)",,44%,,"18,100",,0.021,,380,,"16,800",,0.023,,390,,"34,900",,0.022,,770,,66,%
"Kori Kollo, Bolivia(26)",,88%,,"12,600",,0.010,,120,,"16,200",,0.019,,320,,"28,800",,0.015,,440,,63,%
"Zarafshan-Newmont, Uzbekistan(27)",,50%,,"46,700",,0.036,,"1,690",,—,,—,,—,,"46,700",,0.036,,"1,690",,56,%
,,,,"77,450",,0.028,,"2,200",,"33,100",,0.022,,730,,"110,550",,0.027,,"2,930",,60,%
Total Gold,,,,"515,250",,0.037,,"18,850",,"2,231,100",,0.033,,"74,390",,"2,746,350",,0.034,,"93,240",,81,%
