column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8
Gold Mines,,Ownership(1),,2009,,2008,
,,,,(thousands
of ounces),,(thousands
of ounces),
North America,,,,,,,
"Goldstrike
Property, Nevada",,100,%,"1,355",,"1,706",
"Round Mountain
Mine, Nevada (2)",,50,%,209,,234,
"Hemlo Property,
Ontario (3)",,100,%,275,,130,
"Marigold Mine,
Nevada (2)",,33,%,49,,48,
"Bald Mountain
Mine, Nevada",,100,%,75,,105,
"Cortez Mine,
Nevada (4)",,100,%,517,,428,
"Turquoise Ridge
Mine, Nevada (2)",,75,%,133,,124,
"Golden Sunlight
Mine, Montana",,100,%,28,,120,
"Ruby Hill Mine,
Nevada",,100,%,104,,98,
"Storm Mine,
Nevada",,100,%,65,,22,
,,,,"2,810",,"3,015",
South America,,,,,,,
"Veladero Mine,
Argentina",,100,%,611,,536,
"Pierina Mine,
Peru",,100,%,271,,400,
"Lagunas Norte
Mine, Peru",,100,%,"1,007",,"1,175",
,,,,"1,889",,"2,111",
Australia Pacific,,,,,,,
"Plutonic Mine, Western Australia",,100,%,144,,127,
"Yilgarn South, Western Australia (5)",,100,%,352,,325,
"Kalgoorlie
Mine, Western Australia (2)",,50,%,345,,303,
"Kanowna Mine,
Western Australia",,100,%,284,,267,
"Osborne Mine,
Queensland, Australia (6)",,100,%,42,,33,
"Henty Mine,
Tasmania (7)",,100,%,26,,61,
"Cowal Mine,
Central New South Wales, Australia",,100,%,233,,191,
"Porgera Mine,
Papua New Guinea (2)",,95,%,551,,627,
,,,,"1,977",,"1,942",
Africa,,,,,,,
"Bulyanhulu
Mine, Tanzania",,100,%,249,,200,
"Tulawaka Mine,
Tanzania (2)",,70,%,66,,148,
"North Mara
Mine, Tanzania",,100,%,212,,197,
"Buzwagi Mine,
Tanzania (8)",,100,%,189,,—,
,,,,716,,545,
Other,,,,31,,31,
Company
Total,,,,"7,423",,"7,657",
