column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20
,,PROVEN,,PROBABLE,,TOTAL,,,,,,,,,,,,,
"As at December 31, 2009",,Tons,,Grade(8),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),
Based on attributable ounces,,(000’s),,(oz/ton),,(000’s),,(000’s),,(oz/ton),,(000’s),,(000’s),,(oz/ton),,(000’s),
NORTH AMERICA,,,,,,,,,,,,,,,,,,,
Goldstrike Open Pit,,"41,888",,0.107,,"4,477",,"41,014",,0.117,,"4,819",,"82,902",,0.112,,"9,296",
Goldstrike Underground,,"3,614",,0.405,,"1,464",,"5,384",,0.259,,"1,396",,"8,998",,0.318,,"2,860",
Goldstrike Property
Total,,"45,502",,0.131,,"5,941",,"46,398",,0.134,,"6,215",,"91,900",,0.132,,"12,156",
Pueblo Viejo (60%),,"8,498",,0.097,,826,,"158,140",,0.085,,"13,418",,"166,638",,0.085,,"14,244",
Cortez,,"23,288",,0.092,,"2,149",,"220,381",,0.054,,"11,951",,"243,669",,0.058,,"14,100",
Bald Mountain,,"77,454",,0.021,,"1,653",,"149,892",,0.019,,"2,836",,"227,346",,0.020,,"4,489",
Turquoise Ridge (75%),,"3,418",,0.481,,"1,643",,"4,612",,0.527,,"2,429",,"8,030",,0.507,,"4,072",
Round Mountain (50%),,"30,696",,0.022,,670,,"48,111",,0.017,,796,,"78,807",,0.019,,"1,466",
South Arturo (60%),,—,,—,,—,,"26,314",,0.051,,"1,350",,"26,314",,0.051,,"1,350",
Ruby Hill,,669,,0.055,,37,,"13,264",,0.050,,665,,"13,933",,0.050,,702,
Hemlo (12),,"13,902",,0.072,,"1,006",,"3,598",,0.089,,319,,"17,500",,0.076,,"1,325",
Marigold (33%),,"15,500",,0.018,,281,,"34,497",,0.015,,526,,"49,997",,0.016,,807,
Golden Sunlight,,"1,967",,0.074,,146,,"6,272",,0.058,,362,,"8,239",,0.062,,508,
SOUTH AMERICA,,,,,,,,,,,,,,,,,,,
"Cerro Casale (50%) (7),
(13)",,"127,619",,0.019,,"2,383",,"540,862",,0.017,,"9,202",,"668,481",,0.017,,"11,585",
Pascua-Lama,,"42,132",,0.050,,"2,126",,"381,726",,0.041,,"15,713",,"423,858",,0.042,,"17,839",
Veladero,,"29,734",,0.031,,927,,"474,053",,0.023,,"11,081",,"503,787",,0.024,,"12,008",
Lagunas Norte,,"18,673",,0.034,,631,,"215,750",,0.032,,"6,870",,"234,423",,0.032,,"7,501",
Pierina,,"21,370",,0.016,,345,,"22,225",,0.014,,303,,"43,595",,0.015,,648,
AUSTRALIA PACIFIC,,,,,,,,,,,,,,,,,,,
Porgera (95%),,"46,172",,0.092,,"4,247",,"31,362",,0.110,,"3,436",,"77,534",,0.099,,"7,683",
Kalgoorlie (50%),,"35,450",,0.049,,"1,730",,"39,630",,0.062,,"2,475",,"75,080",,0.056,,"4,205",
Cowal,,"12,891",,0.024,,305,,"64,037",,0.037,,"2,392",,"76,928",,0.035,,"2,697",
Plutonic,,138,,0.152,,21,,"4,087",,0.184,,750,,"4,225",,0.182,,771,
Kanowna,,"3,609",,0.187,,675,,"3,728",,0.150,,558,,"7,337",,0.168,,"1,233",
Darlot,,"2,111",,0.126,,265,,"1,194",,0.150,,179,,"3,305",,0.134,,444,
Granny Smith,,838,,0.156,,131,,"2,186",,0.173,,379,,"3,024",,0.169,,510,
Lawlers,,226,,0.128,,29,,"2,882",,0.159,,457,,"3,108",,0.156,,486,
Osborne,,680,,0.024,,16,,133,,0.023,,3,,813,,0.023,,19,
AFRICA,,,,,,,,,,,,,,,,,,,
Bulyanhulu,,"1,414",,0.380,,537,,"26,216",,0.373,,"9,783",,"27,630",,0.374,,"10,320",
North Mara,,"15,125",,0.098,,"1,477",,"16,780",,0.088,,"1,472",,"31,905",,0.092,,"2,949",
Buzwagi,,"3,634",,0.035,,127,,"68,977",,0.047,,"3,274",,"72,611",,0.047,,"3,401",
Tulawaka (70%),,166,,0.084,,14,,240,,0.329,,79,,406,,0.229,,93,
OTHER,,19,,0.263,,5,,306,,0.441,,135,,325,,0.431,,140,
TOTAL,,"582,895",,0.052,,"30,343",,"2,607,853",,0.042,,"109,408",,"3,190,748",,0.044,,"139,751",
