column_1,column_2,column_3,column_4,column_5,column_6,column_7,column_8,column_9,column_10,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22
,,MEASURED (M),,INDICATED (I),,(M) + (I),,INFERRED,,,,,,,,,,,,,
"For the year ended Dec. 31, 2009",,Tons,,Grade(8),,Contained ozs(9),,Tons,,Grade(8),,Contained ozs(9),,Ounces(9),,Tons,,Grade(8),,Contained ozs(9),
Based on attributable ounces,,(000’s),,(oz/ton),,(000’s),,(000’s),,(oz/ton),,(000’s),,(000’s),,(000’s),,(oz/ton),,(000’s),
NORTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Pueblo Viejo (60%),,"2,113",,0.36,,760,,"68,721",,0.32,,"21,792",,"22,552",,"11,654",,0.51,,"5,981",
SOUTH AMERICA,,,,,,,,,,,,,,,,,,,,,
Cerro Casale (50%) (13),,"8,098",,0.04,,299,,"111,757",,0.03,,"3,425",,"3,724",,"244,644",,0.03,,"7,607",
Pascua-Lama,,"13,316",,0.91,,"12,148",,"140,055",,0.89,,"123,986",,"136,134",,"24,298",,0.55,,"13,398",
Lagunas Norte,,909,,0.10,,91,,"36,651",,0.08,,"2,880",,"2,971",,"9,784",,0.05,,451,
Veladero,,"4,269",,0.21,,878,,"60,984",,0.39,,"23,980",,"24,858",,"64,086",,0.33,,"21,427",
Pierina,,"3,337",,0.28,,920,,"3,029",,0.23,,700,,"1,620",,"4,066",,0.40,,"1,632",
AFRICA,,,,,,,,,,,,,,,,,,,,,
Bulyanhulu,,—,,—,,—,,"11,350",,0.27,,"3,058",,"3,058",,"7,296",,0.35,,"2,557",
TOTAL,,"32,042",,0.47,,"15,096",,"432,547",,0.42,,"179,821",,"194,917",,"365,828",,0.15,,"53,053",
