日期,合约,开盘价,最高价,最低价,收盘价,涨跌（元）,涨跌幅,加权平均价,成交量（kg）,成交金额（元）,市场持仓（手）,交收方向,交收量（手）
2026-03-31,Ag(T+D),17860.00,18508.00,17559.00,18031.00,511,2.92%,18114.00,345804,6264032482,2818488,空支付给多,
2026-03-30,Ag(T+D),17080.00,17940.00,16956.00,17560.00,272,1.57%,17520.00,294236,5155247412,2839936,空支付给多,
2026-03-27,Ag(T+D),16830.00,17650.00,16800.00,17467.00,-258,-1.46%,17288.00,293094,5067156202,2849646,空支付给多,
2026-03-26,Ag(T+D),18144.00,18200.00,17228.00,17292.00,-724,-4.02%,17725.00,429700,7616436638,2872224,空支付给多,
2026-03-25,Ag(T+D),17299.00,18508.00,16740.00,18121.00,1464,8.79%,18016.00,456886,8231344992,2890428,空支付给多,
2026-03-24,Ag(T+D),16200.00,17479.00,16180.00,17166.00,859,5.27%,16657.00,534268,8899782306,2912056,空支付给多,
2026-03-23,Ag(T+D),17877.00,17895.00,15060.00,15269.00,-2582,-14.46%,16307.00,478842,7808594698,2916420,空支付给多,
2026-03-20,Ag(T+D),17505.00,18550.00,16119.00,17780.00,-1040,-5.53%,17851.00,519902,9280854426,2918764,空支付给多,
2026-03-19,Ag(T+D),19716.00,19716.00,17636.00,17990.00,-1877,-9.45%,18820.00,448610,8442963722,2902818,空支付给多,
2026-03-18,Ag(T+D),20110.00,20378.00,19559.00,19966.00,-438,-2.15%,19867.00,1668560,33150682290,2900004,空支付给多,
2026-03-17,Ag(T+D),20010.00,20709.00,20010.00,20330.00,116,0.57%,20404.00,172512,3519942440,2887258,空支付给多,
2026-03-16,Ag(T+D),21150.00,21334.00,19800.00,20077.00,-1243,-5.83%,20214.00,288302,5827842746,2886542,空支付给多,
2026-03-13,Ag(T+D),21950.00,22200.00,20753.00,20887.00,-702,-3.25%,21320.00,226134,4821238800,2886170,空支付给多,
2026-03-12,Ag(T+D),21750.00,22000.00,21341.00,21851.00,-364,-1.64%,21589.00,415788,8976652222,2871008,空支付给多,
2026-03-11,Ag(T+D),22270.00,22530.00,21923.00,21999.00,-263,-1.18%,22215.00,195490,4342831342,2860266,空支付给多,
2026-03-10,Ag(T+D),21300.00,22575.00,21185.00,22290.00,1186,5.62%,22262.00,346662,7717421460,2892498,空支付给多,
2026-03-09,Ag(T+D),21000.00,21564.00,20300.00,21290.00,85,0.40%,21104.00,466374,9842466460,2930272,空支付给多,
2026-03-06,Ag(T+D),21370.00,21427.00,20719.00,21350.00,163,0.77%,21205.00,311098,6597074248,2941700,空支付给多,
2026-03-05,Ag(T+D),21820.00,21935.00,20400.00,21068.00,-147,-0.69%,21187.00,431928,9151578430,2966324,空支付给多,
2026-03-04,Ag(T+D),20301.00,21680.00,20022.00,21561.00,-703,-3.16%,21215.00,546706,11598737144,2977650,空支付给多,
