page,file_name,file_size,width,height,ink_ratio,dark_ink_ratio,blank,edge_touch,edge_ink_pixels,margin_left,margin_top,margin_right,margin_bottom
1,page-001.png,67464,662,936,0.038733,0.035776,false,false,0,96,161,91,73
2,page-002.png,244925,662,936,0.119188,0.10482,false,false,0,74,111,69,40
3,page-003.png,150716,662,936,0.074002,0.066038,false,false,0,69,111,74,40
4,page-004.png,121480,662,936,0.056834,0.050929,false,false,0,74,37,70,40
5,page-005.png,139772,662,936,0.06693,0.059453,false,false,0,69,37,75,40
6,page-006.png,161073,662,936,0.076316,0.067932,false,false,0,74,37,70,40
7,page-007.png,155788,662,936,0.073768,0.064717,false,false,0,69,37,74,40
8,page-008.png,139278,662,936,0.067167,0.059484,false,false,0,74,111,70,40
9,page-009.png,107914,662,936,0.047577,0.042094,false,false,0,69,112,75,40
10,page-010.png,115304,662,936,0.052521,0.047552,false,false,0,74,37,70,40
11,page-011.png,126746,662,936,0.057729,0.051205,false,false,0,69,37,75,40
12,page-012.png,141665,662,936,0.063969,0.05665,false,false,0,74,37,70,40
13,page-013.png,113106,662,936,0.053127,0.048689,false,false,0,69,37,75,40
14,page-014.png,103504,662,936,0.046131,0.041581,false,false,0,74,37,70,40
15,page-015.png,97654,662,936,0.042248,0.036841,false,false,0,70,111,75,40
16,page-016.png,103135,662,936,0.045788,0.039583,false,false,0,74,37,70,40
17,page-017.png,46930,662,936,0.019928,0.017375,false,false,0,69,37,75,40
18,page-018.png,18582,662,936,0.01024,0.009594,false,false,0,104,331,100,40
19,page-019.png,199583,662,936,0.098229,0.086735,false,false,0,70,111,74,40
20,page-020.png,134449,662,936,0.068069,0.06063,false,false,0,74,37,69,39
21,page-021.png,183380,662,936,0.092432,0.082452,false,false,0,69,111,74,40
22,page-022.png,193503,662,936,0.09561,0.084833,false,false,0,74,37,70,39
23,page-023.png,157765,662,936,0.076292,0.067766,false,false,0,69,37,74,39
24,page-024.png,146229,662,936,0.073695,0.065437,false,false,0,74,37,70,39
25,page-025.png,162311,662,936,0.080141,0.071207,false,false,0,69,37,75,39
26,page-026.png,136321,662,936,0.067061,0.059622,false,false,0,74,37,70,39
27,page-027.png,141532,662,936,0.083424,0.076507,false,false,0,69,111,78,39
28,page-028.png,192300,662,936,0.121819,0.111384,false,false,0,74,37,70,40
29,page-029.png,136971,662,936,0.081277,0.073879,false,false,0,69,37,74,40
30,page-030.png,23558,662,936,0.013573,0.012756,false,false,0,75,111,71,39
31,page-031.png,193791,936,662,0.094719,0.081971,false,false,0,39,69,38,75
32,page-032.png,82871,662,936,0.041864,0.037167,false,false,0,74,111,70,39
33,page-033.png,160962,662,936,0.077333,0.068629,false,false,0,70,111,74,39
34,page-034.png,16493,662,936,0.008553,0.00804,false,false,0,145,331,142,39
35,page-035.png,37678,662,936,0.016742,0.015077,false,false,0,69,111,74,39
36,page-036.png,150483,936,662,0.073092,0.062111,false,false,0,38,74,38,70
37,page-037.png,153331,936,662,0.074405,0.063279,false,false,0,38,69,38,74
38,page-038.png,152708,936,662,0.07446,0.063313,false,false,0,39,74,38,70
39,page-039.png,153034,936,662,0.074472,0.063323,false,false,0,39,69,38,74
40,page-040.png,151967,936,662,0.073794,0.062663,false,false,0,38,74,38,70
41,page-041.png,152768,936,662,0.074284,0.06302,false,false,0,39,69,38,74
42,page-042.png,149167,936,662,0.072256,0.061359,false,false,0,38,74,38,70
43,page-043.png,133757,936,662,0.064387,0.054587,false,false,0,38,69,38,75
44,page-044.png,129498,936,662,0.061196,0.05185,false,false,0,38,74,38,70
45,page-045.png,127398,936,662,0.060392,0.051122,false,false,0,38,69,38,75
46,page-046.png,123854,936,662,0.058929,0.049973,false,false,0,38,74,38,70
47,page-047.png,120534,936,662,0.056835,0.048283,false,false,0,38,69,38,75
