asset_id,content_state,extraction_state,table_files,table_rows,paragraph_count,narrative_output,failure_reason
LCL-0156,EMPTY_SHELL,FAILED,0,0,0,,EMPTY_SHELL
LCL-0157,NARRATIVE_CONTENT,EXTRACTED,0,0,5,02_提取正文/LCL-0157/content.json,
LCL-0160,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/LCL-0160/content.json,
WEB-0001,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0002,MIXED_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0002/content.json,
WEB-0003,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0011,MIXED_CONTENT,EXTRACTED,17,48,29,02_提取正文/WEB-0011/content.json,
WEB-0013,STRUCTURED_DATA,EXTRACTED,1,1,3,02_提取正文/WEB-0013/content.json,
WEB-0026,NARRATIVE_CONTENT,EXTRACTED,0,0,5,02_提取正文/WEB-0026/content.json,
WEB-0038,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0039,DOWNLOAD_LANDING,EXTRACTED,0,0,1,02_提取正文/WEB-0039/content.json,
WEB-0040,NARRATIVE_CONTENT,EXTRACTED,0,0,2,02_提取正文/WEB-0040/content.json,
WEB-0042,DOWNLOAD_LANDING,EXTRACTED,0,0,1,02_提取正文/WEB-0042/content.json,
WEB-0043,DOWNLOAD_LANDING,EXTRACTED,0,0,1,02_提取正文/WEB-0043/content.json,
WEB-0044,NARRATIVE_CONTENT,EXTRACTED,0,0,60,02_提取正文/WEB-0044/content.json,
WEB-0045,MIXED_CONTENT,EXTRACTED,1,3,6,02_提取正文/WEB-0045/content.json,
WEB-0046,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0046/content.json,
WEB-0048,DOWNLOAD_LANDING,EXTRACTED,0,0,1,02_提取正文/WEB-0048/content.json,
WEB-0049,NARRATIVE_CONTENT,EXTRACTED,0,0,5,02_提取正文/WEB-0049/content.json,
WEB-0050,NARRATIVE_CONTENT,EXTRACTED,0,0,15,02_提取正文/WEB-0050/content.json,
WEB-0060,STRUCTURED_DATA,EXTRACTED,3,5,10,02_提取正文/WEB-0060/content.json,
WEB-0063,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0064,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0065,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0066,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0067,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0068,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0069,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0091,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0098,NARRATIVE_CONTENT,EXTRACTED,0,0,25,02_提取正文/WEB-0098/content.json,
WEB-0099,NARRATIVE_CONTENT,EXTRACTED,0,0,5,02_提取正文/WEB-0099/content.json,
WEB-0101,MIXED_CONTENT,EXTRACTED,1,300,5,02_提取正文/WEB-0101/content.json,
WEB-0104,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0108,DOWNLOAD_LANDING,EXTRACTED,0,0,7,02_提取正文/WEB-0108/content.json,
WEB-0109,NARRATIVE_CONTENT,EXTRACTED,0,0,11,02_提取正文/WEB-0109/content.json,
WEB-0126,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0128,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0128/content.json,
WEB-0129,NARRATIVE_CONTENT,EXTRACTED,0,0,13,02_提取正文/WEB-0129/content.json,
WEB-0133,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0134,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0139,MIXED_CONTENT,EXTRACTED,55,172,397,02_提取正文/WEB-0139/content.json,
WEB-0159,NARRATIVE_CONTENT,EXTRACTED,0,0,1,02_提取正文/WEB-0159/content.json,
WEB-0162,NARRATIVE_CONTENT,EXTRACTED,0,0,7,02_提取正文/WEB-0162/content.json,
WEB-0173,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0183,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0187,NARRATIVE_CONTENT,EXTRACTED,0,0,19,02_提取正文/WEB-0187/content.json,
WEB-0191,NARRATIVE_CONTENT,EXTRACTED,0,0,6,02_提取正文/WEB-0191/content.json,
WEB-0194,NARRATIVE_CONTENT,EXTRACTED,0,0,8,02_提取正文/WEB-0194/content.json,
WEB-0195,MIXED_CONTENT,EXTRACTED,16,96,129,02_提取正文/WEB-0195/content.json,
WEB-0197,NARRATIVE_CONTENT,EXTRACTED,0,0,12,02_提取正文/WEB-0197/content.json,
WEB-0198,NARRATIVE_CONTENT,EXTRACTED,0,0,72,02_提取正文/WEB-0198/content.json,
WEB-0199,NARRATIVE_CONTENT,EXTRACTED,0,0,59,02_提取正文/WEB-0199/content.json,
WEB-0200,MIXED_CONTENT,EXTRACTED,7,10,123,02_提取正文/WEB-0200/content.json,
WEB-0216,NARRATIVE_CONTENT,EXTRACTED,0,0,12,02_提取正文/WEB-0216/content.json,
WEB-0218,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0225,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
WEB-0227,NOT_ACQUIRED,FAILED,0,0,0,,NOT_ACQUIRED
