parent_asset_id,candidate_type,url,extension_hint,anchor_text,source_locator,fetch_allowed,fetch_decision_reason,redistribution_scope
WEB-0011,LINKED_RESOURCE,https://www.pbc.gov.cn/rmyh/106866/index.html,.html,报告下载,table-link,1,PUBLIC_GET_NO_AUTH,shared
WEB-0011,LINKED_RESOURCE,https://www.pbc.gov.cn/rmyh/107046/107165/index.html,.html,下载中心,table-link,1,PUBLIC_GET_NO_AUTH,shared
WEB-0457,LINKED_RESOURCE,https://www.sge.com.cn/hyzq/xzzq,,下载专区,anchor,1,PUBLIC_GET_NO_AUTH,shared
WEB-0457,LINKED_RESOURCE,https://www.sge.com.cn/tzzjy/shzrbg,,社会责任报告,anchor,1,PUBLIC_GET_NO_AUTH,shared
WEB-0039,LINKED_RESOURCE,https://data.bis.org/bulkdownload,,Bulk downloads,anchor,1,PUBLIC_GET_NO_AUTH,shared
WEB-0040,LINKED_RESOURCE,https://data.imf.org/-/media/iData/External-Storage/Documents/2F78EE59F79143A7921E5E203D3AAA80/en/WEOApr2026all.xlsx,.xlsx,"DOCUMENTApril 2026 WEO Entire Dataset in ExcelThis data file includes the data published in the World Economic Outlook Database in spreadsheet format. The data are presented in three datasheets (Countries, Country Groups, and Commodity Prices).",anchor,1,PUBLIC_GET_NO_AUTH,private_only
WEB-0040,LINKED_RESOURCE,https://data.imf.org/-/media/iData/External-Storage/Documents/4AA1F4D0624C46E98F95988F1F83E770/en/April-2026-WEO-Database-Appendix.pdf,.pdf,"DOCUMENTApril 2026 WEO Database AppendixA vintage-specific appendix to the World Economic Outlook (WEO) database, compiled as a downloadable PDF. It consolidates assumptions and data conventions, documents changes and corrections to the database (with the current vintage highlighted and past vintages archived for reference), details country groups and aggregates, and provides country-specific information. Each vintage appendix is preserved to ensure users can access both current and historical documentation.",anchor,1,PUBLIC_GET_NO_AUTH,private_only
WEB-0040,LINKED_RESOURCE,https://data.imf.org/-/media/iData/External-Storage/Documents/2C2B2F3E671A4B11ABE756E2441FD6F0/en/WEO-Database-Transition-Guide.pdf,.pdf,DOCUMENTWEO Database Transition GuideA short guide explaining the changes to the World Economic Outlook (WEO) Database in the new IMF Data Portal compared to the previous format.,anchor,1,PUBLIC_GET_NO_AUTH,private_only
WEB-0040,LINKED_RESOURCE,https://data.imf.org/-/media/iData/External-Storage/Documents/977574FA66914EAD900D3FEC55C7316A/en/WEOhistorical.xlsx,.xlsx,"DOCUMENTWEO Historical Forecasts Database A comprehensive archive of the IMF’s World Economic Outlook historical forecasts, providing past projections for key macroeconomic indicators across countries and regions.",anchor,1,PUBLIC_GET_NO_AUTH,private_only
WEB-0040,LINKED_RESOURCE,https://data.imf.org/en/Resource-Pages/Download-Excel-Add-in,,Excel Add-in,anchor,1,PUBLIC_GET_NO_AUTH,private_only
