parent_asset_id,resource_id,source_file,source_extension,source_size_bytes,source_sha256,object_type,object_name,row_count,column_count,output_path,extraction_state,failure_reason
WEB-0351,WEB-0351-R01,01_新增原件/WEB-0351/WEB-0351-R01_BCDC_spreadsheet_for_website.xlsx,.xlsx,20817,48cd8ba790b500211d3060bd92263f206ee6c4544840ec02310d93424faebeed,xlsx_sheet,NBER Chronology,44,13,03_提取表格/WEB-0351/WEB-0351-R01/NBER_Chronology.csv,EXTRACTED,
WEB-0364,WEB-0364-R01,01_新增原件/WEB-0364/WEB-0364-R01_China_Mainland_Paper_EPU.xlsx,.xlsx,48791,214038d480d88ac7c6f899a407ac69c958c582aa21a5aa21c480a9548b74b4b5,xlsx_sheet,EPU 1949-1978,352,6,03_提取表格/WEB-0364/WEB-0364-R01/EPU_1949-1978.csv,EXTRACTED,
WEB-0364,WEB-0364-R01,01_新增原件/WEB-0364/WEB-0364-R01_China_Mainland_Paper_EPU.xlsx,.xlsx,48791,214038d480d88ac7c6f899a407ac69c958c582aa21a5aa21c480a9548b74b4b5,xlsx_sheet,EPU 1979-1999,253,6,03_提取表格/WEB-0364/WEB-0364-R01/EPU_1979-1999.csv,EXTRACTED,
WEB-0364,WEB-0364-R01,01_新增原件/WEB-0364/WEB-0364-R01_China_Mainland_Paper_EPU.xlsx,.xlsx,48791,214038d480d88ac7c6f899a407ac69c958c582aa21a5aa21c480a9548b74b4b5,xlsx_sheet,EPU 2000 onwards,320,6,03_提取表格/WEB-0364/WEB-0364-R01/EPU_2000_onwards.csv,EXTRACTED,
WEB-0364,WEB-0364-R01,01_新增原件/WEB-0364/WEB-0364-R01_China_Mainland_Paper_EPU.xlsx,.xlsx,48791,214038d480d88ac7c6f899a407ac69c958c582aa21a5aa21c480a9548b74b4b5,xlsx_sheet,TPU 2000 onwards,320,6,03_提取表格/WEB-0364/WEB-0364-R01/TPU_2000_onwards.csv,EXTRACTED,
WEB-0042,WEB-0042-R01,01_新增原件/WEB-0042/WEB-0042-R01_FP.CPI.TOTL.ZG.zip,.zip,113780,13819d0f23614105b04d2d57ae46f76dd895acbe1e10a66333c7e51ba18c6c1d,zip_archive,3 entries,3,,01_新增原件/WEB-0042/expanded/WEB-0042-R01,EXPANDED,
WEB-0042,WEB-0042-R01-E001,01_新增原件/WEB-0042/expanded/WEB-0042-R01/API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,.csv,258144,d471d84cc4a1f3a79d46742b79fb23ebced68c1c7efa03aed9392f40292b495c,csv,API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,267,3,01_新增原件/WEB-0042/expanded/WEB-0042-R01/API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,INSPECTED,
WEB-0042,WEB-0042-R01-E002,01_新增原件/WEB-0042/expanded/WEB-0042-R01/Metadata_Country_API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,.csv,64527,5bdd328c25cfbe64901926f79d7178f1a83f19169a2f0b1789737d2e2ea4dd79,csv,Metadata_Country_API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,277,6,01_新增原件/WEB-0042/expanded/WEB-0042-R01/Metadata_Country_API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,INSPECTED,
WEB-0042,WEB-0042-R01-E003,01_新增原件/WEB-0042/expanded/WEB-0042-R01/Metadata_Indicator_API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,.csv,454,2d733136836708adb9cbdd979053eeb6d341fb9e097adf5729240e54c1257b93,csv,Metadata_Indicator_API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,1,5,01_新增原件/WEB-0042/expanded/WEB-0042-R01/Metadata_Indicator_API_FP.CPI.TOTL.ZG_DS2_en_csv_v2_285.csv,INSPECTED,
WEB-0043,WEB-0043-R01,01_新增原件/WEB-0043/WEB-0043-R01_PA.NUS.FCRF.zip,.zip,68062,f98ea813ed7cb010739cbc8d168a2aca028e53c248674c65582e1af9949a16f6,zip_archive,3 entries,3,,01_新增原件/WEB-0043/expanded/WEB-0043-R01,EXPANDED,
